,Created_At,Tweets
0,2021-10-23 08:57:30+00:00,@loveseskrim syopifud ajaaa coba sheiii
1,2021-10-23 05:08:54+00:00,@jinkasperr syopifud mantep 12k dpt 2
2,2021-10-23 01:42:39+00:00,@yogurtgreenF syopifud lbh bakar duit kak woakwoa
3,2021-10-22 17:11:46+00:00,"valid bgt dah sumpah senior asso w kalo ngitung splitbill gofud atau syopifud sampe dibuat wp nya😭👍🏻

dulu pas dikirimin wp split bill sampe kena culture shock dalem hati ""DIA NGIRIM WP APAAAA INI?!!!"" wkwkwk🥲😭😂 https://t.co/eVUy8rZ1Es"
4,2021-10-22 14:30:30+00:00,syopifud adalah jalan ninjaku
5,2021-10-22 13:09:47+00:00,Syopifud membantu sekali ternyata
6,2021-10-22 12:44:16+00:00,"Pesen syopifud, ternyata restonya deket banget ga sampe 300m dari kosan wkwkwk."
7,2021-10-22 12:26:35+00:00,@FWBESS Syopifud ada potongan 25k nder td gw beli makan 2 porsi totalnya jd 18k kok. Info ajasi
8,2021-10-22 09:57:12+00:00,Syopifud cocok bgt buat aku https://t.co/j7x1a4OSII
9,2021-10-22 09:37:55+00:00,"@Fahroe03 Kalo syopifud bingung, gak tau selera makan yg gimana wkwk kayaknya emang kudu ditelusuri makanan yg biasa mereka makan"
10,2021-10-22 09:24:36+00:00,"@kithurhead tapi waktu itu aku pernah pesen lewat syopifud, skrg gabisaaa"
11,2021-10-22 09:17:53+00:00,jiwa toast kok gabisa di syopifud
12,2021-10-22 08:54:28+00:00,@FOOD_FESS heuheu aku pake syopifud jadi 27 :D
13,2021-10-22 07:09:24+00:00,"@04JAEMIN LHO IYA wkwkwk kirain syopifud ih aku juga abis gofood tp gada diskon:"")"
14,2021-10-22 07:02:42+00:00,@04JAEMIN Meng iri ga ada syopifud disinii
15,2021-10-22 05:50:16+00:00,maksi brsm syopifud https://t.co/DTsVH3VQRR
16,2021-10-22 05:13:40+00:00,terima kasih untuk bapak syopifud yang tidak pernah jemu mengantar makanan disaat kerjaan saya tidak bisa ditinggal:') untuk syopi juga karena berkat anda saya bisa makan bergizi dengan budget minimum tanpa harus keluar rumah🥺🙏🏻
17,2021-10-22 05:08:15+00:00,Ini mas syopifud kok ga gerak2 ya :( dichat ceklis satu :(( huhu gimana dong :(( dikit lagi ada kelas :(
18,2021-10-22 02:17:46+00:00,"Baru tadi ada si ibu kamar ujung ngasih nasi uduk buat makan siang karena kasian lihat gue gapernah keliatan makan siang kali ya (tp bener sih) 🥲

Sebelumnya dikasih sosis goreng + nugget banyak. Katanya karena gue udah ngasih tau tempat buat beli gas dan tips syopifud 😭"
19,2021-10-21 17:10:16+00:00,Syopifud sahabat anak kos https://t.co/ziilJbf3Cf
20,2021-10-21 16:52:19+00:00,laper mau pesen syopifud eh pada tutup jam 12
21,2021-10-21 13:40:42+00:00,finally wkwkwk tp aku maunya mas2 syopifud yg di jogja hehe https://t.co/RjLOZqNtaP
22,2021-10-21 13:30:45+00:00,eh anjir syopifud promonya banyak bgt gue shock?????
23,2021-10-21 13:08:05+00:00,Pesen syopifud terus abangnya nganter pesenan sambil boncengan ma pacarnya hahahaha
24,2021-10-21 12:59:50+00:00,"YaAllah seneng banget gue kalo nemu makanan di syopifud yang ternyata enak banget. 😭😭😭

Gue kan paling sebel kalo beli di tempat baru pertama gataunya zonk, tapi bosen kalo beli makan itu-itu aja. Makanya terharu banget kalo nemu yang enak di tempat lain tuh. 🥺"
25,2021-10-21 10:23:00+00:00,"Almet kampus sama jaket Syopifud sama persis warnanya, kalo dipake dijalan bisa mengelabuhi orang 😭"
26,2021-10-21 10:06:23+00:00,"@jayareumdaun nah makanyaa sama banget semua karena syopifud:"")"
27,2021-10-21 09:21:01+00:00,"@blueejays iya aku mah gabakalan bisa uninst, tiap hari aku syopifud :"")"
28,2021-10-21 09:08:31+00:00,"@jayareumdaun mau aku unist tapi kadang promo suka menggiurkan apalagi syopifud huhuhu "")"
29,2021-10-21 08:50:07+00:00,@cocoglezze @FOODFESS2 banyaaak bgt sumpah🥲🥲 itu harga aslinya 40rb tp pake syopifud jd 25rb🥳
30,2021-10-21 08:14:59+00:00,"@kookieshitaeru Kalau grabfood,gofood dan syopifud harusnya bisa kak, kecuali jaraknya kejauhan tergantung sistem aplikasinya aja"
31,2021-10-21 06:20:33+00:00,"ginian doang bisa balikin mood wkwkw, btw perkara tinggal co syopifud aja mikirnya sampai setengah jam😭✊🏻 https://t.co/eW9zZg4eU2"
32,2021-10-21 06:14:06+00:00,omo omo diskon syopifud lagi
33,2021-10-21 06:03:42+00:00,Pada bisa order syopifud ga si? Ksl bgt aku
34,2021-10-21 05:15:25+00:00,@FOODFESS2 kenapa gaa syopifud ajaa
35,2021-10-21 04:40:22+00:00,saranin gua syopifud apa
36,2021-10-21 04:13:05+00:00,"@pokonyakentank 15rb kak seporsi, kl di syopifud dpt diskon lg 50%plus free ongkir"
37,2021-10-21 03:43:35+00:00,"@potonganbolu @jogmfs Masama kakk, fyi kl pake syopifud dapet diskon lagi 50% + free ongkir"
38,2021-10-21 03:40:29+00:00,"@potonganbolu @jogmfs Tinggal order di gofud or grab or syopifud kak, namanya laperisme. Buka dari jam 3 sampe jam 9 😄"
39,2021-10-21 03:39:31+00:00,"@ambar_leola Tinggal cek di grabfud, gofud or syopifud aja kak namanya laperisme. Bukanya jam 3 sampe jam 9 😄"
40,2021-10-21 03:36:33+00:00,"@ambar_leola @mediocrickey 15rb kak, tp kl order di syopifud dapet diskon lagi 50% + freeongkir"
41,2021-10-21 02:13:38+00:00,memang syopifud adalah penyelamat kelaperanku https://t.co/2lI4qgB2Rx
42,2021-10-20 17:43:19+00:00,@bittermuffinn aku masih nunggu kang syopifud
43,2021-10-20 17:10:24+00:00,"gapapa, yg penting cantik. lah gue mabok malah pesen syopifud, gofud, nelfon random dah jelek bgt pokonya🙏🏻 https://t.co/fvXcSnjZOR"
44,2021-10-20 15:22:19+00:00,ya ampun pesen makan lewat syopifud tiba2 ujan gede banget pdhl drivernya lagi dijalan 😭😭kasian ih tapi ini beneran hujannya tiba2 deras
45,2021-10-20 13:54:42+00:00,@marsekal_ mau syopifud apa
46,2021-10-20 13:44:32+00:00,"@geapus Kui murah banget, Ghe.... Gusti, omahku ngopo gak ke detect syopifud"
47,2021-10-20 12:56:40+00:00,@muchlovekoo lgi mau makanan apa yg ada di syopifud?
48,2021-10-20 11:47:44+00:00,saran makanan yang ada di syopifud dong tengkyu -dips!
