,Created_At,Tweets
0,2021-11-08 14:32:26+00:00,"@FOODFESS2 Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/fuD8qJ6TE0"
1,2021-11-08 14:31:05+00:00,"@kegblgnunfaedh Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/V0XrsZrQYm"
2,2021-11-08 14:28:30+00:00,"@racheltjhia Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/njr0OYRMYH"
3,2021-11-08 14:26:53+00:00,@bridgze AKU KEMARIN MAU BELI INI TAPI PAS KU CEK DI GOJEK GRAB SHOPEEFOOD TEMPATKU GA ADA 😡
4,2021-11-08 14:26:32+00:00,"@txtdrbekasi Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/971kdaXWyG"
5,2021-11-08 14:24:49+00:00,"jaman sekarang kalo kabur dari rumah enak, udah ada aplikasi kurir gojek, grab, shopeefood, shopeexpres, aplikasi investasi bibit, ajaib, crypto, binomo, octafx, judi online, bigolive, mangolive,"
6,2021-11-08 14:08:27+00:00,@mulyasdrmn @shopeefood_id Ditungguko mda ada baru beli 😮‍💨
7,2021-11-08 14:07:40+00:00,"Burger bageurs kini tersedia di Shopee food yang geis.. 
Burger reguler 13 k
Burger cheese 16 k 
Double patty 22 k 
French fries saus keju bageurs 16 k 
Lokasi bogor 
Jangan lewatkan cobain menu kami ya 
#ShopeeID 
#shopeefood 
#bogor https://t.co/uqK1yaBwyd"
8,2021-11-08 14:07:00+00:00,@idhampekad @shopeefood_id enak hotdognya
9,2021-11-08 14:06:59+00:00,@faadlyMA @dhitapuspaw @salsablrmdhntii Pedd pedd masa shopeefood gua diambil orang jirr wkwkwk
10,2021-11-08 14:04:50+00:00,"Kesel bgt shopeefood dr kemaren kenapa si mapsnya error mulukk
 jadi lama order makannn 😭😭"
11,2021-11-08 13:54:56+00:00,"Dear tetangga belakang rumah
Plis atuh naro titik alamat rumahnya jangan di warung aing setidaknya di kasi keterangan gitu loh yang lebih spesifik.
Batur keur solat, keur ngaji, keur pereum jadi ka ganggu woyyy
Keudeng'' pakettt, keudeng'' shopeefood, keudeng'' gofood"
12,2021-11-08 13:47:38+00:00,"[08/11/21 20.45.59] bunda ♡: Coba cilor Ciparigi Ke
 [08/11/21 20.46.41] nabiilah eka: masa beli cilor di shopeefood
 [08/11/21 20.46.56] bunda ♡: Waktu itu Bunda beli di grab food,"
13,2021-11-08 13:43:46+00:00,@lampungbase Tadi aku liat dijalan ada yang pake jaket shopeefood di kemiling
14,2021-11-08 13:37:28+00:00,WEEEE ANJIR DEMI APA SHOPEEFOOD UDAH ADA DI BATAM😭😭😭
15,2021-11-08 13:34:58+00:00,"Buka shopeefood, milih menu, gajadi. Buka grabfood, caricari gak srek, buka gojek, gada promo, balik lagi ke shopeefood. Seribet itu batin gue."
16,2021-11-08 13:32:03+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/V6iDkDurkE https://t.co/wNLHb3NwbY
17,2021-11-08 13:22:49+00:00,"@lampungbase Kak aku punya akun shopeefood driver dan sdh aktif, kalo kakaknya minat untuk beli/sewa akun aku boleh kok. Price? Murah pake banget.. dm for contact"
18,2021-11-08 13:21:41+00:00,"segini 44k (mie gacoan iblis 2, udang keju 1, choco dalgonana 1) 

pake shopeefood (diskon gratong + 50%)

nanti mau review semuanya ah. first time coba gacoan &amp; udang keju yang 'katanya' enak😃 https://t.co/DhbdTbRbxO"
19,2021-11-08 13:21:21+00:00,"Shopeefood iki lokasi pengiriman salah2 terus..

Pesen ndek omah dikirim ng kantor
Pesen ndek embong dikirim ng omah"
20,2021-11-08 13:21:01+00:00,"@metabrightvc tapi di gofood, grab, maupun shopeefood out of stock semua 😢😢"
21,2021-11-08 13:20:27+00:00,"Mau ngemil, tp yg agak berar. Eh liat ini, ber 2 cuman 23rb 😍 @shopeefood_id https://t.co/4zdBkyra0k"
22,2021-11-08 13:16:29+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/n9zX6kyLzE https://t.co/Sw9WMLCVXX
23,2021-11-08 13:15:05+00:00,LM ada yg jual voucher ShopeeFood gak ya?
24,2021-11-08 13:12:52+00:00,"Promo....
Hanya di Ni Boba BRAWIJAYA - MOJOKERTO
Silahkan cek di :
#GrabFood #GoFood #ShopeeFood

#1111BigDeals #ShopeePay #shopeeID
#PromoShopee #PromoShopeePay #ShopeePay1111 #InfoPromo
#ShopeeFood
#KirimTandaSayang
#GrabYourGifts
#Makathon
#GrabFoodMulai10rb
#GoFoodinAja https://t.co/9skrdPv1LI"
25,2021-11-08 13:12:10+00:00,"Teruntuk mutualku yg domisilinya ada shopeefood, klik link ini deh

https://t.co/uox56m2eeP

Ada voc diskon 100% 3, 50% 2, sama ongkir. Lumayan jajan murah buat tgl 11.11

Aku mah cuman bisa sedih, karna disini gaada :("
26,2021-11-08 13:05:08+00:00,@loplopih Ka ada di shopeefood atau gofoood? Tks
27,2021-11-08 13:03:22+00:00,"Makan Gratis Bareng Teman di ShopeeFood https://t.co/7nNVO1xab8
Bantu guys #zonauang #zonaba"
28,2021-11-08 13:03:16+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/OK4dCYtsf6 https://t.co/GVvKmW5PRB
29,2021-11-08 13:02:05+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/yE3OKQPbwl
30,2021-11-08 12:47:13+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/1cMxL2qxs0 https://t.co/tB69OVC7ZI
31,2021-11-08 12:46:12+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/1j2YI0KcO2 https://t.co/Pcpl5pF8KK
32,2021-11-08 12:45:58+00:00,Geh! Aku mau daftarin ayahku di shopeefood as driver. Ada disini yang tau gimana daftarnya? Kemarin udah coba searching lewat google tapi belum ada panggilan juga. Mohon bantuannya. Makasih ya
33,2021-11-08 12:41:30+00:00,alhamdulillah di rancaekek udh ada shopeefood
34,2021-11-08 12:39:19+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/NTB2MYdzYe https://t.co/XCJ6DcSqyp
35,2021-11-08 12:34:32+00:00,"@RacunBelanja https://t.co/siFXa9KDnE

Lumayan nih voucher shopeefood tinggal klik aja linknya"
36,2021-11-08 12:32:51+00:00,"@khairunnisa_ca Makasih,sama sama doa biar BIG WIN 💰💰💰💸💸💸✅✅✅ @ShopeeID @ShopeeCare @shopeefood_id @ShopeePay_ID"
37,2021-11-08 12:30:24+00:00,hidupku hampa tanpa shopeefood
38,2021-11-08 12:28:31+00:00,"Tapi sekarang masih pingin pingin ngemil 😭
Udah buka shopeefood tapi bingung mau beli apa 😂 https://t.co/LJgVQho6D6"
39,2021-11-08 12:23:19+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/vQrZBUylWp https://t.co/le9RxZZMjZ
40,2021-11-08 12:18:36+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/iiz2t5JK9B https://t.co/dSNaIkJqcW
41,2021-11-08 12:18:15+00:00,"Laper, hujan, mager nyari makan kek gini emang paling enak diorderin shopeefood."
42,2021-11-08 12:14:04+00:00,keinginan makan busui dipertemukan dengan shopeefood samadengan bablasss
43,2021-11-08 12:07:53+00:00,@Harry__04 Dket Mojosongo...Bs Order Lewat Gojek Grab &amp; Shopeefood Hanz Coffee &amp; Eatery ☺️
44,2021-11-08 12:02:58+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ScHkKr5PDX #ShopeeGiveawayNCTLightstick #ShopeeID #ShopeexNCT127 #shopeefood #Shopee #Shopee1111xNCT127 #ShopeexNCTzenSelcaWeek #ShopeeMY #ShopeePH1111 #shopeepay https://t.co/wFeggx3uDS
45,2021-11-08 12:02:07+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ew2czh1rjG https://t.co/0QeSyTqBwH
46,2021-11-08 11:59:22+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/M6ddKyoZru https://t.co/lkaVDXIAUS
47,2021-11-08 11:56:21+00:00,"@rubyjeonn_ di shopeefood yg voucher partner tertentu diskon 20k min 30k cmiiw lin, banyak kookkk"
48,2021-11-08 11:55:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/qTeth6iPwI
