,Tweets,Case_Folding;;;;;;
0,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya??;;;;;;
1,jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe 😭;;;;;;
2,Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN,gw masih kepikiran that random cheesecake i found on shopeefood 🧍 https://t.co/mrmd5uzlkn;;;;;;
3,@urlovelymeow Coba cek di shopeefood,@urlovelymeow coba cek di shopeefood;;;;;;
"4,""@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk"",""@wannayuuu @bdngfess sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk""";;;;;;
"5,""@shopeefood_id Ayam penyet, sate, martabak"",""@shopeefood_id ayam penyet, sate, martabak""";;;;;;
6,Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood. baca-baca titik antaranya suka error dan meleset jauh. bismillah lancar 😭;;;;;;
"7,""nama: manda";;;;;;
cita-cita: jd orang kaya;;;;;;
"hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting"",""nama: manda";;;;;;
cita-cita: jd orang kaya;;;;;;
"hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting""";;;;;;
"8,""ss shopeefood bisa juga kok, maap lupa huhu"",""ss shopeefood bisa juga kok, maap lupa huhu""";;;;;;
9,Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood. harga awal dengan ongkir 200rban. setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha;;;;;;
"10,""@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳"",""@shopeefood_id seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳""";;;;;;
"11,""@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌"",""@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌""";;;;;;
"12,""Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt";"3"",""yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/hnqlm1hzyw dan  beli makanan favorit kamu di shopeefood yaa!&lt";"3""";;;;
"13,""Akhir pekan bersama keluarga makin istimewa dengan Paket Family Weekend McD";;;;;;
;;;;;;
Mulai 90 ribuan, bisa dapat menu buat bertiga &amp; GRATIS permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍;;;;;
;;;;;;
Yuk pesan di McDonald's atau McDelivery, GoFood, GrabFood &amp;" ShopeeFood! https://t.co/sV6lt9h8Ev"",""akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd";;;;;
;;;;;;
mulai 90 ribuan, bisa dapat menu buat bertiga &amp; gratis permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍;;;;;
;;;;;;
yuk pesan di mcdonald's atau mcdelivery, gofood, grabfood &amp;" shopeefood! https://t.co/sv6lt9h8ev""";;;;;
14,YUHUUUU SLOT SORE SUDAH READY GENGGGGSSS! Yukkk langsung ke gofood grabfood shopeefood 😋😋😋,yuhuuuu slot sore sudah ready genggggsss! yukkk langsung ke gofood grabfood shopeefood 😋😋😋;;;;;;
"15,""ketika bingung mau split bill orderan gojek/grab/shopeefood ";;;;;;
"solusi : https://t.co/Yz2duVvQmI"",""ketika bingung mau split bill orderan gojek/grab/shopeefood ";;;;;;
"solusi : https://t.co/yz2duvvqmi""";;;;;;
"16,""Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah"",""ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? katanya gara gara ngelanggar shopeefood. bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah""";;;;;;
"17,""@oohssehnn hi cwk, kirimin shopeefood donk😉"",""@oohssehnn hi cwk, kirimin shopeefood donk😉""";;;;;;
"18,""cu bgt liat mas"""" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching"",""cu bgt liat mas"""" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching""";;;;;;
19,kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood??;;;;;;
20,GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????,gua mesen shopeefood 15 menit lalu udah nelfon abis nelfon dia ngilang gitu aja????;;;;;;
21,@shopeefood_id gorengan bakri 😊,@shopeefood_id gorengan bakri 😊;;;;;;
22,@shopeefood_id Seblak,@shopeefood_id seblak;;;;;;
23,@shopeefood_id Ikan bakar,@shopeefood_id ikan bakar;;;;;;
24,Pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood 😔👍🏻;;;;;;
"25,""shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu"",""shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu""";;;;;;
26,@injooniees pake shopeefood coba kan ada gratis ongkirr,@injooniees pake shopeefood coba kan ada gratis ongkirr;;;;;;
"27,""Beli shopeefood pas dateng kenapa aing nanya """"gofood ya?"""" Malu dong ga fokus kebiasaan gofood atuda🤣🤣"",""beli shopeefood pas dateng kenapa aing nanya """"gofood ya?"""" malu dong ga fokus kebiasaan gofood atuda🤣🤣""";;;;;;
28,Apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen?;;;;;;
"29,""Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW"",""pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “mas aku isepin ya k*ntl nya?” wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow""";;;;;;
30,@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3,@jibrilss15 @jibrilbangi syukur... done beli via shopeefood https://t.co/w5f34kakf3;;;;;;
"31,""KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. ";;;;;;
;;;;;;
"MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭"",""kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir. ";;;;;;
;;;;;;
"mana jauh sama mahal 😭😭😭😭😭😭😭""";;;;;;
32,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu;;;;;;
33,@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?;;;;;;
"34,""Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll";;;;;;
;;;;;;
"Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V"",""spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll";;;;;;
;;;;;;
"ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v""";;;;;;
"35,""Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk"",""ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk""";;;;;;
"36,""barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20"",""barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20""";;;;;;
37,Shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup;;;;;;
38,Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa 😂;;;;;;
"39,""Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?";;;;;;
"Mau saya kasih rating 0 tp gak bisa ..."",""hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?";;;;;;
"mau saya kasih rating 0 tp gak bisa ...""";;;;;;
40,Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini;;;;;;
41,Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt;;;;;;
42,Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfood/shopeefood apa yg enak di cikini~;;;;;;
"43,""JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd"",""just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood 🧍 https://t.co/dymjws5isd""";;;;;;
44,@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.,@shopeecare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? tidak sebaik dan secepat gojek pelayanan nya. ditambah cs shopee hanya copas copas text saja.;;;;;;
45,@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang;;;;;;
"46,""@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja"",""@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja""";;;;;;
"47,""@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/L4s5AQmAfS"",""@shopeecare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/l4s5aqmafs""";;;;;;
48,@fimegasari Apalagi gaada shopeefood:(,@fimegasari apalagi gaada shopeefood:(;;;;;;
49,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn;;;;;;
50,top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood;;;;;;
"51,""@in_rd_sa @ezash Astaga Dog :’))";;;;;;
;;;;;;
"Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM"",""@in_rd_sa @ezash astaga dog :’))";;;;;;
;;;;;;
"senja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/rgylxhqgtm""";;;;;;
52,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh;;;;;;
"53,""BEAR BOBBA LOWOKWARU";;;;;;
;;;;;;
Cinnamon Roll Macchiato 18K #BigCup22oz;;;;;;
50% Disc #ShopeeFood #GrabFood #GoFood;;;;;;
;;;;;;
🌐 https://t.co/6fplAdGVlD;;;;;;
;;;;;;
#InfoKulinerMalang;;;;;;
#LaporLaper;;;;;;
#KulinerHitsMalang;;;;;;
#MalangCulinary;;;;;;
#MalangKuliner;;;;;;
#BobaMalang;;;;;;
#KopiMalang ;;;;;;
#EsTehMalang;;;;;;
#MojitoMalang;;;;;;
#Grab;;;;;;
#GoJek;;;;;;
"#BTS https://t.co/kvnyQpieh8"",""bear bobba lowokwaru";;;;;;
;;;;;;
cinnamon roll macchiato 18k #bigcup22oz;;;;;;
50% disc #shopeefood #grabfood #gofood;;;;;;
;;;;;;
🌐 https://t.co/6fpladgvld;;;;;;
;;;;;;
#infokulinermalang;;;;;;
#laporlaper;;;;;;
#kulinerhitsmalang;;;;;;
#malangculinary;;;;;;
#malangkuliner;;;;;;
#bobamalang;;;;;;
#kopimalang ;;;;;;
#estehmalang;;;;;;
#mojitomalang;;;;;;
#grab;;;;;;
#gojek;;;;;;
"#bts https://t.co/kvnyqpieh8""";;;;;;
54,kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel;;;;;;
"55,""di ShopeeFood aja";;;;;;
"*Ayam Gacor - Menteng Atas* https://t.co/cuPipXNGbG"",""di shopeefood aja";;;;;;
"*ayam gacor - menteng atas* https://t.co/cupipxngbg""";;;;;;
"56,""di ShopeeFood aja";;;;;;
"*Ayam Gacor - Menteng Atas* @ Ayam Gacor Menteng Atas https://t.co/3hpmFsEVcY"",""di shopeefood aja";;;;;;
"*ayam gacor - menteng atas* @ ayam gacor menteng atas https://t.co/3hpmfsevcy""";;;;;;
"57,""Setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke ShopeeFood aja pesen nasi paddington"",""setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington""";;;;;;
58,Siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood;;;;;;
"59,""@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi"",""@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi""";;;;;;
"60,""haii! aku jg ada voucher shopeefood nihh~";;;;;;
fee 2k-5k (tergantung voucher yg dipakai yaaa);;;;;;
;;;;;;
yg minat bisa langsung dm yaa^^;;;;;;
"jangan lupa mention setelah dm yap #zonauang #zonaba #zonaBU #Zonajajan https://t.co/OyRJ8Iyxmq"",""haii! aku jg ada voucher shopeefood nihh~";;;;;;
fee 2k-5k (tergantung voucher yg dipakai yaaa);;;;;;
;;;;;;
yg minat bisa langsung dm yaa^^;;;;;;
"jangan lupa mention setelah dm yap #zonauang #zonaba #zonabu #zonajajan https://t.co/oyrj8iyxmq""";;;;;;
"61,""HAPPY WEEKEND NASABAH LEMAK TERSAYANG ❤️❤️❤️";;;;;;
;;;;;;
Biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋;;;;;;
;;;;;;
Gofood ✅;;;;;;
Grabfood ✅;;;;;;
"Shopeefood ✅"",""happy weekend nasabah lemak tersayang ❤️❤️❤️";;;;;;
;;;;;;
biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋;;;;;;
;;;;;;
gofood ✅;;;;;;
grabfood ✅;;;;;;
"shopeefood ✅""";;;;;;
"62,""@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem"",""@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem""";;;;;;
"63,""hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus";;;;;;
top sakintal, komo martabak spesial mah;;;;;;
;;;;;;
"#ngebid #shopeefood https://t.co/tpkduDeOiv"",""hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus";;;;;;
top sakintal, komo martabak spesial mah;;;;;;
;;;;;;
"#ngebid #shopeefood https://t.co/tpkdudeoiv""";;;;;;
64,@RacunBelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,@racunbelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck;;;;;;
"65,""Kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. ";;;;;;
;;;;;;
"Gitu terus sampe nanti sore."",""kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. ";;;;;;
;;;;;;
"gitu terus sampe nanti sore.""";;;;;;
"66,""Seberapa gak gunanya kegiatan lo dihari weekend?";;;;;;
"Gue scroll shopeefood berjam-jam tp gak ada yg di checkout"",""seberapa gak gunanya kegiatan lo dihari weekend?";;;;;;
"gue scroll shopeefood berjam-jam tp gak ada yg di checkout""";;;;;;
"67,""andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣"",""andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣""";;;;;;
68,Bj takde coffee ke aduh kena game dgn ShopeeFood,bj takde coffee ke aduh kena game dgn shopeefood;;;;;;
"69,""pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. ";;;;;;
;;;;;;
lalu cs @ShopeeID menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. ;;;;;;
;;;;;;
Drivernya? ;;;;;;
keberatan... duitnya gak mau dibalikin. ;;;;;;
"yang penting dia dapat feenya."",""pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. ";;;;;;
;;;;;;
lalu cs @shopeeid menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. ;;;;;;
;;;;;;
drivernya? ;;;;;;
keberatan... duitnya gak mau dibalikin. ;;;;;;
"yang penting dia dapat feenya.""";;;;;;
"70,""pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...";;;;;;
;;;;;;
WHAT T---;;;;;;
;;;;;;
Minta saya batalin? ya gak bisa. saya chat cs @ShopeeID  LAMA BANGET PROSEDURNYA....;;;;;;
"AKHIRNYA APA?"",""pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...";;;;;;
;;;;;;
what t---;;;;;;
;;;;;;
minta saya batalin? ya gak bisa. saya chat cs @shopeeid  lama banget prosedurnya....;;;;;;
"akhirnya apa?""";;;;;;
71,Baru kenal aja udah minta dikirimin ShopeeFood. Dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood. dasar mental pengemis! 😒🙃;;;;;;
"72,""BEAR BOBBA LOWOKWARU";;;;;;
;;;;;;
Boba Brown Sugar 13K #BigCup22oz;;;;;;
50% Disc #ShopeeFood #GrabFood #GoFood;;;;;;
;;;;;;
🌐https://t.co/6fplAdGVlD;;;;;;
;;;;;;
#InfoKulinerMalang;;;;;;
#LaporLaper;;;;;;
#KulinerHitsMalang;;;;;;
#MalangCulinary;;;;;;
#MalangKuliner;;;;;;
#BobaMalang;;;;;;
#KopiMalang ;;;;;;
#EsTehMalang;;;;;;
#MojitoMalang;;;;;;
#Grab;;;;;;
#GoJek;;;;;;
#Shopee;;;;;;
"#BTS https://t.co/AHDAMR3pFL"",""bear bobba lowokwaru";;;;;;
;;;;;;
boba brown sugar 13k #bigcup22oz;;;;;;
50% disc #shopeefood #grabfood #gofood;;;;;;
;;;;;;
🌐https://t.co/6fpladgvld;;;;;;
;;;;;;
#infokulinermalang;;;;;;
#laporlaper;;;;;;
#kulinerhitsmalang;;;;;;
#malangculinary;;;;;;
#malangkuliner;;;;;;
#bobamalang;;;;;;
#kopimalang ;;;;;;
#estehmalang;;;;;;
#mojitomalang;;;;;;
#grab;;;;;;
#gojek;;;;;;
#shopee;;;;;;
"#bts https://t.co/ahdamr3pfl""";;;;;;
"73,""@uchiha201 Buka di google, """"cara daftar jadi shopeefood driver"""""",""@uchiha201 buka di google, """"cara daftar jadi shopeefood driver""""""";;;;;;
"74,""@nnirwansyah Buka aja google, """"cara daftar shopeefood driver"""""",""@nnirwansyah buka aja google, """"cara daftar shopeefood driver""""""";;;;;;
75,[Askrl] rata2 penghasilan driver shopeefood berapa ya sehari,[askrl] rata2 penghasilan driver shopeefood berapa ya sehari;;;;;;
76,Jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata2 penghasilan driver shopeefood berapa ya sehari;;;;;;
"77,""Jiakh, shopeefood dah ada akhirnya"",""jiakh, shopeefood dah ada akhirnya""";;;;;;
"78,""Nasib baik Erna kabo tentang ShopeeFood. Setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. Kalau takdo baucer, aku rela makan makanan kafe."",""nasib baik erna kabo tentang shopeefood. setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. kalau takdo baucer, aku rela makan makanan kafe.""";;;;;;
"79,""Jangan lupa Klaim Vocher ShopeeFood km 😗";;;;;;
;;;;;;
"https://t.co/tCA2ilgUvH"",""jangan lupa klaim vocher shopeefood km 😗";;;;;;
;;;;;;
"https://t.co/tca2ilguvh""";;;;;;
"80,""lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aQxkPD0Jze"",""lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aqxkpd0jze""";;;;;;
"81,""Shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya"",""shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya""";;;;;;
"82,""Rencana kirim makanan pake shopeefood, eh ketiduran :(";;;;;;
"Astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. Bisa2 nya ketidurannn wkwk 🤣🤣🤣"",""rencana kirim makanan pake shopeefood, eh ketiduran :(";;;;;;
"astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. bisa2 nya ketidurannn wkwk 🤣🤣🤣""";;;;;;
"83,""@jogmfs Order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin"",""@jogmfs order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin""";;;;;;
84,@uniquerls @sicutgeulis @shopeefood_id Bakal ada di bulan november / desember kak ditunggu aja,@uniquerls @sicutgeulis @shopeefood_id bakal ada di bulan november / desember kak ditunggu aja;;;;;;
"85,""ada voucher shopeefood juga";;;;;;
disc 50% max 18k ;;;;;;
disc 30% max 18k;;;;;;
udah sama vc gratis ongkirnya;;;;;;
fee 5k ya btw soalnya 2 vc yg dipake;;;;;;
vc shopeefood ;;;;;;
"#zonauang #zonajajan #zonaba https://t.co/UPUv5ZNT1G"",""ada voucher shopeefood juga";;;;;;
disc 50% max 18k ;;;;;;
disc 30% max 18k;;;;;;
udah sama vc gratis ongkirnya;;;;;;
fee 5k ya btw soalnya 2 vc yg dipake;;;;;;
vc shopeefood ;;;;;;
"#zonauang #zonajajan #zonaba https://t.co/upuv5znt1g""";;;;;;
"86,""Apaka warung q harus kaya gini? 😂 ";;;;;;
"Udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/eMQ1D0fn8K"",""apaka warung q harus kaya gini? 😂 ";;;;;;
"udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/emq1d0fn8k""";;;;;;
"87,""@deakrn_ @sbyfess Ndang dibuka shopeefood e wes awe awe";;;;;;
