,Unnamed: 0,Created_At,Tweets
0,0,2021-10-23 09:28:10+00:00,shopeefood ini ga bisa ngasih tip buat driver ya??
1,1,2021-10-23 09:20:37+00:00,jangan ujan woyy shopeefood gua belom sampe 😭
2,2,2021-10-23 09:20:00+00:00,gw masih kepikiran that random cheesecake i found on shopeefood 🧍 https://t.co/mrmd5uzlkn
3,3,2021-10-23 09:13:06+00:00,@urlovelymeow coba cek di shopeefood
4,4,2021-10-23 09:08:42+00:00,"@wannayuuu @bdngfess sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk"
5,5,2021-10-23 09:07:29+00:00,"@shopeefood_id ayam penyet, sate, martabak"
6,6,2021-10-23 08:57:04+00:00,nervous karena perdana mesen makanan lewat shopeefood. baca-baca titik antaranya suka error dan meleset jauh. bismillah lancar 😭
7,7,2021-10-23 08:56:53+00:00,"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting"
8,8,2021-10-23 08:53:46+00:00,"ss shopeefood bisa juga kok, maap lupa huhu"
9,9,2021-10-23 08:45:03+00:00,hmm kirim cake ke kakak ipar pake shopeefood. harga awal dengan ongkir 200rban. setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha
10,10,2021-10-23 08:35:30+00:00,"@shopeefood_id seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳"
11,11,2021-10-23 08:32:39+00:00,"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌"
12,12,2021-10-23 08:11:55+00:00,"yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/hnqlm1hzyw dan  beli makanan favorit kamu di shopeefood yaa!&lt;3"
13,13,2021-10-23 08:03:43+00:00,"akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd

mulai 90 ribuan, bisa dapat menu buat bertiga &amp; gratis permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

yuk pesan di mcdonald's atau mcdelivery, gofood, grabfood &amp; shopeefood! https://t.co/sv6lt9h8ev"
14,14,2021-10-23 08:03:17+00:00,yuhuuuu slot sore sudah ready genggggsss! yukkk langsung ke gofood grabfood shopeefood 😋😋😋
15,15,2021-10-23 08:02:07+00:00,"ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/yz2duvvqmi"
16,16,2021-10-23 07:55:33+00:00,"ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? katanya gara gara ngelanggar shopeefood. bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah"
17,17,2021-10-23 07:54:41+00:00,"@oohssehnn hi cwk, kirimin shopeefood donk😉"
18,18,2021-10-23 07:49:01+00:00,"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching"
19,19,2021-10-23 07:33:19+00:00,kapan di daerah gue ada shopeefood??
20,20,2021-10-23 07:27:47+00:00,gua mesen shopeefood 15 menit lalu udah nelfon abis nelfon dia ngilang gitu aja????
21,21,2021-10-23 07:27:34+00:00,@shopeefood_id gorengan bakri 😊
22,22,2021-10-23 07:26:16+00:00,@shopeefood_id seblak
23,23,2021-10-23 07:26:05+00:00,@shopeefood_id ikan bakar
24,24,2021-10-23 07:24:27+00:00,pergi kl semata mata nk guna shopeefood 😔👍🏻
25,25,2021-10-23 07:18:25+00:00,"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu"
