,Unnamed: 0,Unnamed: 0.1,Created_At,Tweets
0,0,0,,tweets
1,1,1,2021-10-23 06:55:05+00:00,b'@jibrilss15 @jibrilbangi syukur... done beli via shopeefood https://t.co/w5f34kakf3'
2,2,2,2021-10-23 06:52:15+00:00,b'kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir. \n\nmana jauh sama mahal \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
3,3,3,2021-10-23 06:32:42+00:00,b'2 nasi padang lauk ayam sama sayur + es teh cuman 15k \xf0\x9f\x98\xad shopeefood aku padamuuu huhuhuu'
4,4,4,2021-10-23 06:17:33+00:00,b'@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?'
5,5,5,2021-10-23 06:10:57+00:00,"b'spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll\n\nada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v'"
6,6,6,2021-10-23 06:07:49+00:00,"b'ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk'"
7,7,7,2021-10-23 05:59:55+00:00,"b'barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20'"
8,8,8,2021-10-23 05:59:35+00:00,b'shopeefood adalah penyelamat hidup'
9,9,9,2021-10-23 05:54:09+00:00,b'baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa \xf0\x9f\x98\x82'
10,10,10,2021-10-23 05:50:46+00:00,b'hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?\nmau saya kasih rating 0 tp gak bisa ...'
11,11,11,2021-10-23 05:47:26+00:00,b'terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini'
12,12,12,2021-10-23 05:46:38+00:00,"b'tadii ketemu abang shopeefood ganteng bgt huhuu, pen gebet rasanya :)'"
13,13,13,2021-10-23 05:43:19+00:00,b'boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt'
14,14,14,2021-10-23 05:20:11+00:00,b'mari ngecek ada grabfood/shopeefood apa yg enak di cikini~'
15,15,15,2021-10-23 05:17:59+00:00,"b'just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood \xf0\x9f\xa7\x8d https://t.co/dymjws5isd'"
16,16,16,2021-10-23 05:07:55+00:00,b'@shopeecare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? tidak sebaik dan secepat gojek pelayanan nya. ditambah cs shopee hanya copas copas text saja.'
17,17,17,2021-10-23 05:07:45+00:00,b'@askrlfess yang kamu pesen vouchernya masihan\nkalau shopeefood yang ada di bawah koin https://t.co/gkzewltvr7'
18,18,18,2021-10-23 05:04:05+00:00,b'@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang'
19,19,19,2021-10-23 05:03:41+00:00,"b'@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja'"
20,20,20,2021-10-23 05:02:05+00:00,"b'@shopeecare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/l4s5aqmafs'"
21,21,21,2021-10-23 04:55:38+00:00,b'@fimegasari apalagi gaada shopeefood:('
22,22,22,2021-10-23 04:54:35+00:00,b'@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn'
23,23,23,2021-10-23 04:50:11+00:00,b'top up uangku ordernya di shopeefood'
24,24,24,2021-10-23 04:28:22+00:00,"b'@in_rd_sa @ezash astaga dog :\xe2\x80\x99))\n\nsenja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/rgylxhqgtm'"
25,25,25,2021-10-23 04:14:34+00:00,b'yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh'
26,26,26,2021-10-23 04:07:55+00:00,b'bear bobba lowokwaru\n\ncinnamon roll macchiato 18k #bigcup22oz\n50% disc #shopeefood #grabfood #gofood\n\n\xf0\x9f\x8c\x90 https://t.co/6fpladgvld\n\n#infokulinermalang\n#laporlaper\n#kulinerhitsmalang\n#malangculinary\n#malangkuliner\n#bobamalang\n#kopimalang \n#estehmalang\n#mojitomalang\n#grab\n#gojek\n#bts https://t.co/kvnyqpieh8'
27,27,27,2021-10-23 04:02:26+00:00,b'kok mcd di shopeefood ga ada menu butter caramel'
28,28,28,2021-10-23 03:55:16+00:00,b'di shopeefood aja\n*ayam gacor - menteng atas* https://t.co/cupipxngbg'
