Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya,shopeefood ini tidak bisa memberi tip buat driver ya;;;;;;
jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe,jangan hujan dong shopeefood saya belum sampai;;;;;;
Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN,gw masih kepikiran that random cheesecake i found on shopeefood 🧍 https://t.co/mrmd5uzlkn,gw masih kepikiran that random cheesecake i found on shopeefood,saya masih kepikiran that random cheesecake i found on shopeefood;;;;;;
@urlovelymeow Coba cek di shopeefood,@urlovelymeow coba cek di shopeefood,coba cek di shopeefood,coba cek di shopeefood;;;;;;
"@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk,""@wannayuuu @bdngfess sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar mal";;;;;;
"@shopeefood_id Ayam penyet, sate, martabak,""@shopeefood_id ayam penyet, sate, martabak"",id ayam penyet sate martabak,id ayam penyet sate martabak";;;;;;
Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood. baca-baca titik antaranya suka error dan meleset jauh. bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood bacabaca titik antaranya suka error dan meleset jauh bismillah lancar,nervous karena perdana  pesan makanan lewat shopeefood bacabaca titik antaranya suka error dan salah jauh bismillah lancar;;;;;;
"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting,""nama: manda";;;;;;
cita-cita: jd orang kaya;;;;;;
"hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting"",nama manda citacita jd orang kaya hobi beli novel jajan di shopeefoodgofood checkout barang gapenting,nama manda citacita jadi orang seperti hobi beli novel jajan di shopeefoodgofood checkout barang tidak penting";;;;;;
"ss shopeefood bisa juga kok, maap lupa huhu,""ss shopeefood bisa juga kok, maap lupa huhu"",ss shopeefood bisa juga kok maap lupa huhu,ss shopeefood bisa juga kok maaf lupa huhu";;;;;;
Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood. harga awal dengan ongkir 200rban. setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood harga awal dengan ongkir rban setelah itu voucher double koin shopee sndiri jdi aja hahahahaha,hmm kirim cake ke kakak ipar pakai shopeefood harga awal dengan ongkir rban setelah itu voucher double koin shopee sendiri jadi aja hahahahaha;;;;;;
"@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳,""@shopeefood_id seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳"",id seblak tinggal shopeefood deh ada ";;;;;;
"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌,""@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌"",shopeefood aja sampe nunggu jam saya,shopeefood aja sampai nunggu jam saya";;;;;;
"Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt;3,""yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/hnqlm1hzyw dan  beli makanan favorit kamu di shopeefood yaa!&lt";"3"",yuk supaya momen kamu bareng temen jadi lebih seru jangan lupa klik dan beli makanan favorit kamu di shopeefood yaalt,yuk supaya momen kamu bersama teman jadi lebih seru jangan lupa klik dan beli makanan favorit kamu di shopeefood yaalt";;;;;
