,Created_At,Tweets
0,2021-10-23 09:28:10+00:00,shopeefood ini ga bisa ngasih tip buat driver ya??
1306,2021-10-23 09:20:37+00:00,jangan ujan woyy shopeefood gua belom sampe 😭
1307,2021-10-23 09:20:00+00:00,Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN
1308,2021-10-23 09:13:06+00:00,@urlovelymeow Coba cek di shopeefood
1309,2021-10-23 09:08:42+00:00,"@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk"
1310,2021-10-23 09:07:29+00:00,"@shopeefood_id Ayam penyet, sate, martabak"
1311,2021-10-23 08:57:04+00:00,Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭
1312,2021-10-23 08:56:53+00:00,"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting"
1313,2021-10-23 08:53:46+00:00,"ss shopeefood bisa juga kok, maap lupa huhu"
1314,2021-10-23 08:45:03+00:00,Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha
1315,2021-10-23 08:35:30+00:00,"@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳"
1316,2021-10-23 08:32:39+00:00,"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌"
1317,2021-10-23 08:11:55+00:00,"Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt;3"
1318,2021-10-23 08:03:43+00:00,"Akhir pekan bersama keluarga makin istimewa dengan Paket Family Weekend McD

Mulai 90 ribuan, bisa dapat menu buat bertiga &amp; GRATIS permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

Yuk pesan di McDonald's atau McDelivery, GoFood, GrabFood &amp; ShopeeFood! https://t.co/sV6lt9h8Ev"
1319,2021-10-23 08:03:17+00:00,YUHUUUU SLOT SORE SUDAH READY GENGGGGSSS! Yukkk langsung ke gofood grabfood shopeefood 😋😋😋
1320,2021-10-23 08:02:07+00:00,"ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/Yz2duVvQmI"
1321,2021-10-23 07:55:33+00:00,"Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah"
1322,2021-10-23 07:54:41+00:00,"@oohssehnn hi cwk, kirimin shopeefood donk😉"
1323,2021-10-23 07:49:01+00:00,"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching"
1324,2021-10-23 07:33:19+00:00,kapan di daerah gue ada shopeefood??
1325,2021-10-23 07:27:47+00:00,GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????
1326,2021-10-23 07:27:34+00:00,@shopeefood_id gorengan bakri 😊
1327,2021-10-23 07:26:16+00:00,@shopeefood_id Seblak
1328,2021-10-23 07:26:05+00:00,@shopeefood_id Ikan bakar
1329,2021-10-23 07:24:27+00:00,Pergi kl semata mata nk guna shopeefood 😔👍🏻
1330,2021-10-23 07:18:25+00:00,"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu"
1331,2021-10-23 07:17:15+00:00,@injooniees pake shopeefood coba kan ada gratis ongkirr
1332,2021-10-23 07:12:27+00:00,"Beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" Malu dong ga fokus kebiasaan gofood atuda🤣🤣"
1333,2021-10-23 07:12:00+00:00,Apa makanan wajib kamu kalo bareng temen?
1334,2021-10-23 07:04:24+00:00,"Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW"
1335,2021-10-23 06:55:05+00:00,@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3
1336,2021-10-23 06:52:15+00:00,"KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. 

MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭"
1337,2021-10-23 06:32:42+00:00,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu
1338,2021-10-23 06:17:33+00:00,@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?
1339,2021-10-23 06:10:57+00:00,"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V"
1340,2021-10-23 06:07:49+00:00,"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk"
