,Unnamed: 0,Created_At,Tweets,Case_Folding,Clean_Data,sentiment,label
0,0,2021-10-23 09:28:10+00:00,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ga tip driver,-4,negatif
1,1306,2021-10-23 09:20:37+00:00,jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe 😭,ujan woyy shopeefood,0,netral
2,1307,2021-10-23 09:20:00+00:00,Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN,gw masih kepikiran that random cheesecake i found on shopeefood 🧍 https://t.co/mrmd5uzlkn,terpikirkan that random cheesecake i found on shopeefood,-3,negatif
3,1308,2021-10-23 09:13:06+00:00,@urlovelymeow Coba cek di shopeefood,@urlovelymeow coba cek di shopeefood,coba cek shopeefood,-2,negatif
4,1309,2021-10-23 09:08:42+00:00,"@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk","@wannayuuu @bdngfess sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk",sok kirim mh seriusan terserah maunya grabfoodgofoodshopeefood biar malmingnya nyeblak wkwk,-6,negatif
5,1310,2021-10-23 09:07:29+00:00,"@shopeefood_id Ayam penyet, sate, martabak","@shopeefood_id ayam penyet, sate, martabak",id ayam penyet sate martabak,0,netral
6,1311,2021-10-23 08:57:04+00:00,Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood. baca-baca titik antaranya suka error dan meleset jauh. bismillah lancar 😭,nervous perdana mesen makanan shopeefood bacabaca titik antaranya suka error meleset bismillah lancar,3,positif
7,1312,2021-10-23 08:56:53+00:00,"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting","nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting",nama manda citacita kaya hobi beli novel jajan shopeefoodgofood checkout barang gapenting,6,positif
8,1313,2021-10-23 08:53:46+00:00,"ss shopeefood bisa juga kok, maap lupa huhu","ss shopeefood bisa juga kok, maap lupa huhu",ss shopeefood maap lupa huhu,-2,negatif
9,1314,2021-10-23 08:45:03+00:00,Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood. harga awal dengan ongkir 200rban. setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake kakak ipar pakai shopeefood harga awal ongkos kirim rban voucher double koin shopee hahahahaha,12,positif
