,Created_At,Tweets
0,2021-12-20 13:16:33+00:00,Makan gratis bareng teman di Shopeefood https://t.co/6aVt1xoqoE
1,2021-12-20 13:16:23+00:00,"@missufe makjii aku belum pernah minum chatime, boleh pesen? mumpung ada promo di shopeefood"
2,2021-12-20 13:15:56+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/p8qDVq2zlz https://t.co/naAnwfdFr9
3,2021-12-20 13:14:54+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/DaMJCFaxvY
4,2021-12-20 13:14:18+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/CKxUOgBYOm https://t.co/o6ieFaCwBh
5,2021-12-20 13:11:05+00:00,"@UPIfess 50:50 sih karna kadang di shopeefood ada yg ngga ada, tp kalo shopeepay lagi ada pake shopeefood terus karna lumayan diskonnya hehe"
6,2021-12-20 13:11:02+00:00,@chtpnsgf jgn blg akunmu dibekukan grgr pake promo shopeefood?
7,2021-12-20 13:08:52+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/wEeGTsUHJg
8,2021-12-20 13:08:42+00:00,"!UPI hai kengkawan UPI, kalian paling sering mesen pake gofood atau shopeefood? Sebenarnya lebih rekomendasi yang mana sih? Makasih"
9,2021-12-20 13:08:23+00:00,Ko bisa ye cewe2 dapet diskon di gofood/grabfood/shopeefood tuh gede bener ampe beli beberapa item tuh cuman 4 rebu… https://t.co/UxPRWs4cFe
10,2021-12-20 13:07:55+00:00,malu bgt gak sih? 😭😭😭 shopeefood https://t.co/Vl9n4uEqWp
11,2021-12-20 13:04:40+00:00,"Dihapus kalo full
Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/W4koS1GoYZ"
12,2021-12-20 12:57:52+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/7ID7cvSMfJ https://t.co/nwlCm4KrV2
13,2021-12-20 12:57:45+00:00,"#shopeefood
Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/gQL8O5Z9Nr https://t.co/UuR8NOCIUK"
14,2021-12-20 12:55:17+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/gQL8O5Z9Nr https://t.co/Qg1g46aVAp
15,2021-12-20 12:53:11+00:00,"Sering banget dapat abang shopeefood yg pas nganter makanan ditemenin istri/pacarnya, bahkan pernah sambil bawa anak,respect"
16,2021-12-20 12:53:06+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/EOFYWM8rSU https://t.co/pJLtbqcnOm
17,2021-12-20 12:50:50+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/4ipj4zipEu https://t.co/bOp8rT2X0H
18,2021-12-20 12:50:45+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/uhS4BzksQG https://t.co/G5myFuRLHy
19,2021-12-20 12:50:44+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/4ipj4zipEu https://t.co/IVe2vwpxH8
20,2021-12-20 12:49:22+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/AzQTplE7af https://t.co/ltw6liiPYY
21,2021-12-20 12:47:22+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/4ipj4zipEu https://t.co/PnXQmpcIag
22,2021-12-20 12:45:53+00:00,RT @cubidable: Ga nemu nemu driver shopeefood😭
23,2021-12-20 12:45:16+00:00,Ga nemu nemu driver shopeefood😭
24,2021-12-20 12:44:55+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/wMJays5Sn8
25,2021-12-20 12:42:24+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/qWQrWGdqoB https://t.co/YAVi2zZi7Y
26,2021-12-20 12:41:31+00:00,"Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/5CcNnSpUBQ

Sugus Raisa Iqbal Rian Chanyeol Jeongyeon https://t.co/5esrdffLOv"
27,2021-12-20 12:41:17+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/8N4sqq4rmK https://t.co/Qjj6FltqFP
28,2021-12-20 12:41:05+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/4ipj4zipEu https://t.co/J8TZzHOrLX
29,2021-12-20 12:39:25+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/tt40e3Neqf https://t.co/oABKS0v1te
30,2021-12-20 12:37:37+00:00,Yuk siapa yang mau join grup Shopee Food?? Lumayan loh dapat gratis ongkir 12.000 trus bisa dapet diskon juga. Klik… https://t.co/ooeh6o6g9e
31,2021-12-20 12:36:10+00:00,"Ikutan promo shopeefood kuyy..
Masuk grup aku
https://t.co/fCyQUsWMy8"
32,2021-12-20 12:35:21+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/8qsGLIH553 https://t.co/36djYOhCjO
33,2021-12-20 12:33:41+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/dKlW9I3Xh8
34,2021-12-20 12:33:36+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/CEMt724qzM https://t.co/X9z2FzQX2D
35,2021-12-20 12:33:04+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/9ajOeapCbn https://t.co/EucVYWH6w3
36,2021-12-20 12:31:30+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Zhi9X0JzAr
37,2021-12-20 12:30:41+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/JYJrnf1ksN https://t.co/i4wAXuz4XM
38,2021-12-20 12:30:04+00:00,"@shopeefood_id Beliin shopee food qu aja, cemilan ada, minuman ada, makanan juga ada, harga merakyat rasa bintang l… https://t.co/s1KWv84CKy"
39,2021-12-20 12:29:35+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/HmXaSA39E1
40,2021-12-20 12:29:32+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/l6ExCDM9oT
41,2021-12-20 12:26:16+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/NmkWvGtG0X
42,2021-12-20 12:24:46+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/CgoEkcMHfY https://t.co/49o6udQ9Y3
43,2021-12-20 12:24:24+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Hc9BmLG50P
44,2021-12-20 12:24:12+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/CgoEkcMHfY https://t.co/7sp3AAgm5I
45,2021-12-20 12:23:58+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/kgfsaicYHg
46,2021-12-20 12:21:46+00:00,RT @Minhyuk24hr: Uwaw dari abang grab skrg minyok beralih jadi abang shopeefood https://t.co/DjtXhSZzYF
47,2021-12-20 12:20:41+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/GCakTo8sRx
48,2021-12-20 12:19:14+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/xrnPqgr2ER https://t.co/Z0oaJHLaGr
49,2021-12-20 12:19:10+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/ruXLMZVpUq https://t.co/5ZuznuNrRb
50,2021-12-20 12:19:01+00:00,"@haiiwaizumi @nabxnab @animefess_ Iya kurang lebih begitu, yuk sekarang bantu aku makan 😍😍
Share &amp; Makan Gratis Bar… https://t.co/VBnqyyeQ6T"
51,2021-12-20 12:17:26+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/pAN0GFjIqg https://t.co/VBlFgCfV5n
52,2021-12-20 12:16:08+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Bw6qqSwvyF https://t.co/HlhbePukKs
53,2021-12-20 12:13:56+00:00,"Klik cepet, kita bikin group shopeefood buat dapetin promo 

Share &amp; Makan Gratis Bareng Teman di ShopeeFood… https://t.co/j4esUbsCbh"
54,2021-12-20 12:12:20+00:00,Nak order shopeefood tapi kena topup shopeepay dulu tp takleh sbb maybank2u under maintenance 😭
55,2021-12-20 12:11:16+00:00,@xdzday6 Udah kek ketentuan foto menu shopeefood aja pakek ratio 1:1😭👍
56,2021-12-20 12:09:50+00:00,"@FOODFESS2 Ga gmn2, kmrn pertama kali order emg kata shopeefood antri panjang. Tp lamanya masih dibatas wajar sihh… https://t.co/PbAKdXFatn"
57,2021-12-20 12:07:02+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/vARuTAChV8 https://t.co/sEtaPXA81q
58,2021-12-20 12:06:17+00:00,Sejam buka shopeefood grabfood akhirnya gapesen apa apa
59,2021-12-20 12:03:00+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/KYTwZOy1BC
60,2021-12-20 12:02:51+00:00,shopeefood kenapa sih bgst 🤬 gua laper kenapa gak bisa bayar 🙄🙄🙄
61,2021-12-20 12:01:43+00:00,@GojekOnly @eg_nrs Shopeefood gak bisa?
62,2021-12-20 12:01:30+00:00,"SELITER RASA Bintang Emon Series dari Kopi Lain Hati – Harga mulai dari Rp 85K, Available on Gofood, Grabfood, Shop… https://t.co/D0ViDnmsS1"
63,2021-12-20 11:59:29+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/qsBoxCHNkD https://t.co/XAt3B5aT2Z
64,2021-12-20 11:58:08+00:00,@himyedam aku pake shopeefood ad diskonnn
65,2021-12-20 11:58:01+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/7dh6NrNTw3 https://t.co/r15huPzzxF
66,2021-12-20 11:57:17+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/RVA3rhpSXs https://t.co/fJHG3I6qqG
67,2021-12-20 11:55:46+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/pW6lbi17DX https://t.co/vjESnFRlTu
68,2021-12-20 11:54:29+00:00,RT @Minhyuk24hr: Uwaw dari abang grab skrg minyok beralih jadi abang shopeefood https://t.co/DjtXhSZzYF
69,2021-12-20 11:54:22+00:00,"@AgusRachmanto12 Hehehe. Amin, Mas. Beli lewat Tokopedia/GoFood/GrabFood/Traveloka Eats/ShopeeFood aja supaya nggak repot 😊"
