,Tweets,Case_Folding,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Sentimen,Label
0,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya??,shopeefood ini ga bisa ngasih tip buat driver ya,shopeefood ini tidak bisa memberi tip buat driver ya,shopeefood tip driver,"['shopeefood', 'tip', 'driver']",1,positif
1,jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe 😭,jangan ujan woyy shopeefood gua belom sampe,jangan hujan dong shopeefood saya belum sampai,hujan shopeefood,"['hujan', 'shopeefood']",1,positif
2,Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN,gw masih kepikiran that random cheesecake i found on shopeefood 🧍 https://t.co/mrmd5uzlkn,gw masih kepikiran that random cheesecake i found on shopeefood,saya masih kepikiran that random cheesecake i found on shopeefood,kepikiran random cheesecake found shopeefood,"['pikir', 'random', 'cheesecake', 'found', 'shopeefood']",0,negatif
3,@urlovelymeow Coba cek di shopeefood,@urlovelymeow coba cek di shopeefood,coba cek di shopeefood,coba cek di shopeefood,coba cek shopeefood,"['coba', 'cek', 'shopeefood']",0,negatif
4,"@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk","@wannayuuu @bdngfess sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk",sok kirim aja kalo mau mh seriusan ini terserah maunya grabfoodgofoodshopeefood biar malmingnya nyeblak aja wkwk,sok kirim aja kalau mau mah seriusan ini terserah maunya grabfoodgofoodshopeefood biar malmingnya nyeblak aja wkwk,sok kirim mah seriusan terserah maunya grabfoodgofoodshopeefood malmingnya nyeblak wkwk,"['sok', 'kirim', 'mah', 'serius', 'serah', 'mau', 'grabfoodgofoodshopeefood', 'malmingnya', 'nyeblak', 'wkwk']",1,positif
5,"@shopeefood_id Ayam penyet, sate, martabak","@shopeefood_id ayam penyet, sate, martabak",id ayam penyet sate martabak,id ayam penyet sate martabak,id ayam penyet sate martabak,"['id', 'ayam', 'penyet', 'sate', 'martabak']",2,netral
6,Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood. baca-baca titik antaranya suka error dan meleset jauh. bismillah lancar 😭,nervous karena perdana mesen makanan lewat shopeefood bacabaca titik antaranya suka error dan meleset jauh bismillah lancar,nervous karena perdana  pesan makanan lewat shopeefood bacabaca titik antaranya suka error dan salah jauh bismillah lancar,nervous perdana pesan makanan shopeefood bacabaca titik suka error salah bismillah lancar,"['nervous', 'perdana', 'pesan', 'makan', 'shopeefood', 'bacabaca', 'titik', 'suka', 'error', 'salah', 'bismillah', 'lancar']",1,positif
7,"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting","nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting",nama manda citacita jd orang kaya hobi beli novel jajan di shopeefoodgofood checkout barang gapenting,nama manda citacita jadi orang seperti hobi beli novel jajan di shopeefoodgofood checkout barang tidak penting,nama manda citacita orang hobi beli novel jajan shopeefoodgofood checkout barang,"['nama', 'manda', 'citacita', 'orang', 'hobi', 'beli', 'novel', 'jajan', 'shopeefoodgofood', 'checkout', 'barang']",1,positif
8,"ss shopeefood bisa juga kok, maap lupa huhu","ss shopeefood bisa juga kok, maap lupa huhu",ss shopeefood bisa juga kok maap lupa huhu,ss shopeefood bisa juga kok maaf lupa huhu,ss shopeefood maaf lupa huhu,"['ss', 'shopeefood', 'maaf', 'lupa', 'huhu']",1,positif
9,Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood. harga awal dengan ongkir 200rban. setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,hmm kirim cake ke kakak ipar pake shopeefood harga awal dengan ongkir rban setelah itu voucher double koin shopee sndiri jdi aja hahahahaha,hmm kirim cake ke kakak ipar pakai shopeefood harga awal dengan ongkir rban setelah itu voucher double koin shopee sendiri jadi aja hahahahaha,hmm kirim cake kakak ipar pakai shopeefood harga ongkir rban voucher double koin shopee hahahahaha,"['hmm', 'kirim', 'cake', 'kakak', 'ipar', 'pakai', 'shopeefood', 'harga', 'ongkir', 'rban', 'voucher', 'double', 'koin', 'shopee', 'hahahahaha']",1,positif
