,Tweetnya,Sentimen
0,shopeefood tip driver,4
1,hujan shopeefood,1
2,kepikiran random cheesecake found shopeefood,-3
3,coba cek shopeefood,-2
4,sok kirim mah seriusan terserah maunya grabfoodgofoodshopeefood malmingnya nyeblak wkwk,4
5,id ayam penyet sate martabak,0
6,nervous perdana pesan makanan shopeefood bacabaca titik suka error salah bismillah lancar,2
7,nama manda citacita orang hobi beli novel jajan shopeefoodgofood checkout barang,4
8,ss shopeefood maaf lupa huhu,3
9,hmm kirim cake kakak ipar pakai shopeefood harga ongkir rban voucher double koin shopee hahahahaha,8
10,id seblak tinggal shopeefood deh potongan harga gratis ongkir terbaik,9
11,shopeefood nunggu jam,1
12,yuk momen teman seru lupa klik beli makanan favorit shopeefood yaalt,13
13,pekan keluarga istimewa paket family weekend mcd ribuan menu bertiga gratis permainan seru mainkan keluarga hemat yuk pesan mcdonalds mcdelivery gofood grabfood shopeefood,35
14,yuhuuuu slot sore ready genggggsss ayo langsung gofood grabfood shopeefood,8
15,bingung split bill orderan gojekgrabshopeefood solusi,3
16,akun shopeenya dihapus tulisannya ditinjau gara gara ngelanggar shopeefood bingung cuman pesan shopeefood,-9
17,hi cwk kirimin shopeefood donk,1
18,lucu lihat mas shopeefood pakai jaket oren helm oren vespa oren eye catching,6
19,daerah shopeefood,0
20,pesan shopeefood menit telepon habis telepon ngilang,2
21,id gorengan bakri,1
22,id seblak,0
23,id ikan bakar,1
24,pergi mata nk shopeefood,-1
25,shopeefood difilter mencari dibawah scroll,-3
26,pakai shopeefood coba gratis ongkir,6
27,beli shopeefood pas dateng nanya gofood malu fokus kebiasaan gofood atuda,13
28,makanan wajib teman,-1
29,pacarku cerita nganterin orderan shopeefood kosan maaf bencong niatnya ramah bilangkan namanya cantik orangnya order langsung point mas isepin kntl wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,11
30,syukur done beli via shopeefood,7
31,kesal beli shopeefood lupa nyalahkan potongan harga voc free ongkir mahal,12
32,nasi padang lauk ayam sayur es teh cuman shopeefood padamu huhuhuu,0
33,shopeefood shopepay voucernya,0
34,spaghetti aglio e olio spaghetti masakane simbah orang dimasak pakai bumbu roa cocok nggo ilat indonesia dijamin nampol warung mbah sambat dine intake away pesan gofoodshopeefood,-3
35,ketawa malu banget pesan shopeefood kirimnya titik tutup cabang wkwk,6
36,barangkali tinggal daerah pasar rumput manggarai jaksel diorder ayam bakar mamaku available grabfood gofood shopeefood keywordnya ayam bakar mak tuo pasar rumput makan ditempat lokasinya gedung pasar rumput lt ruko,14
37,shopeefood penyelamat hidup,7
38,kali deh beli makanan shopeefood gagal pesan dateng,3
39,halo id sistemnya terima orderan aplikasi dibilang complete ratingnya kasih rating,-3
40,terbaik gila shopeefood murah murah ngam ngam malas,8
41,order shopeefood grabfood order skunk,0
42,mari ngecek grabfoodshopeefood enak cikini,9
43,semalem soklatttttttttt still prefer hot one kemarin coba icednya lotus lotusnya kebayang cheesecake lotus found shopeefood,0
44,menyelesaikan jam makanan dikirim extra menu refund gojek shopeefood seminggu secepat gojek pelayanan ditambah cs shopee copas copas text,13
45,maaf nder order shopeefood beli voucher cashback,7
46,shopeefood nder cuman voucher,3
47,tgl pesan shopeefood aneh titik driver lokasi penjual driver klik ambil menit selesaikan pesanan terima fitur hubungi driver konfirmasi driver,9
48,shopeefood,0
49,id buka pendaftaran merchant admin,4
50,mantap uangku ordernya shopeefood,5
51,rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,4
52,pakai alamat sp astaga shopeefood gojek dateng risih,5
53,bear bobba lowokwaru cinnamon roll macchiato disc,0
54,mcd shopeefood menu butter caramel,0
55,shopeefood ayam gacor menteng,0
56,shopeefood ayam gacor menteng ayam gacor menteng,0
57,menit bolakbalik shopee grab gofood mencari diskonan shopeefood pesan nasi paddington,3
58,cita citanya menyelesaikan game shopeefood,4
59,uncover kayane wes klarifikasi kuwi mas e cen kurir shopeefood orang hobby mendaki mung cari sensasi,-12
60,halo voucher shopeefood fee kk tergantung voucher dipakai yaaa minat langsung dm lupa mention dm yap,12
61,gembira weekend nasabah lemak tersayang weekend enak mending rebahan rumah pesan kemayoran gofood grabfood shopeefood,26
62,shopeefood asyik cman martabak jual jam segini huhu malem,0
63,hampura neng ieu mah akang ngalongok bari mawa bengbeng sa dus mantap sakintal komo martabak spesial mah,14
64,semenjak shopeefood gojek grab hapus astaga beli mager banget install gojek astaga,2
65,scroll scroll gofood grabfood shopeefood mood makan sore,3
66,gunanya kegiatan dihari weekend scroll shopeefood berjamjam checkout,1
67,andai nagita slavina pesan shopeefood nunggu voucher promo,11
68,bj takde coffee aduh kena game shopeefood,2
69,pesanan id uang hilang pesanan cs menyerah email prosedur hapal banget drivernya keberatan uangnya dibalikin feenya,6
70,pesanan id pagipagi driver klik resto jam nunggu driver chat nemu toko tokonya tutup batalin chat cs banget prosedurnya,2
71,kenal dikirimin shopeefood dasar mental pengemis,3
72,bear bobba lowokwaru boba brown sugar disc,0
73,buka google daftar shopeefood driver,4
74,buka google daftar shopeefood driver,4
75,askrl penghasilan driver shopeefood sehari,3
76,jog penghasilan driver shopeefood sehari,3
77,jiakh shopeefood,0
78,nasib erna kabo shopeefood klaim penghantaran bayar harga makanan jelah takdo baucer rela makan makanan kafe,8
79,lupa klaim vocher shopeefood,1
80,lunas dicoba rejeki shopeefood,6
81,shopeefood parah kali beli mekdi harganya turun harga aslinya,6
82,rencana kirim makanan pakai shopeefood eh ketiduran astagaaa ketawa gaenak janji pesenin makan ketidurannn wkwk,10
83,order shopeefood warmindo elephant nder ngalong kali nyantol mayan bantu tutup poin,3
84,id november desember kak ditunggu,1
85,voucher shopeefood disc max disc max vc gratis ongkirnya fee ngomong-ngomong vc dipakai vc shopeefood,7
86,apaka warung q nebak orderan pakai nama cust driver pakai jas gojek ambil orderan shopeefood,-5
87,ndang dibuka shopeefood e wes awe awe scroll sejam sek keturon,3
88,hoee admin deh akun dibatasi pesan shopeefood gimanaaa gaaa,-1
89,pakai shopeefood,0
90,terima kasih gofood grabfood shopeefood menyelamatkan malam hariku rispekkk,8
91,gofood drtd magrib driver beralih shopeefood,0
92,ai id saldo shpepay,2
93,iseng daftar aplikasi belanja makanan online alias lupa daftar daftar merchant juli dipanggil kemarin bayar jaket helm tas,0
94,happen pesan shopeefood drivernya teman untung mesennya,5
95,malas jajan via shopeefood biaya terduganya include uang parkir driver tips,4
96,asyik banget yee shopeefood,1
97,suka iri orang grabfood gofood shopeefood lihat betapa jauhnya rumah kota,4
98,shopeefood salad tibatiba siang chatime pulang kerja rumah croissant box isi disikat laper ih heran,8
99,mayan laper beli potongan shopeefood wkwkwk,0
100,dibeli pulsa pesan shopeefood,1
101,allah bercita bawa keluarga liburan bali pesan makan mikirnya mati bandingin harga grabfoodshopeefood gofood pusing,19
102,order piktif,0
103,satgas shopee satuan garpu sendok,3
104,shopeefood sepeda uyy,0
105,beli shopeefood,2
106,parenting guide shopeefood acapkali ita,0
107,kenap order shopeefood drivernya gemes sehat mbaknya,2
108,lucu banget ahsistemnya sempurna kali budak shopeefood banget,12
109,seram gaksi doa dikabulin instantly habis pesan shopeefood hujan deres posisi abangnya otw berdoa ngucapin berkalikali ujanya stop kasihan abangnya nantii abangnya baling hujan,17
110,ehhh iya samaa grgr promo shopeefood wkwkwkwk,3
