Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Tokenizing,Stemming,Bobot,Label,Sentimen
2021-11-20 10:08:29+00:00,"@isaayyy_ @faizaufi mana cukup sekali makan 1 bks nasi kucing HAHAHAHAHAHAHAHAH selama jadi mahasiswa di Jogja, Gofood,grabfood, sm shopeefood emang bener jadi penyelamat",mana cukup sekali makan bks nasi kucing hahahahahahahahah selama jadi mahasiswa di jogja gofoodgrabfood sm shopeefood emang bener jadi penyelamat,mana cukup sekali makan bks nasi kucing hahahahahahahahah selama jadi mahasiswa di jogja gofoodgrabfood sama shopeefood memang benar jadi penyelamat,makan bks nasi kucing hahahahahahahahah mahasiswa jogja gofoodgrabfood shopeefood penyelamat,"['makan', 'bks', 'nasi', 'kucing', 'hahahahahahahahah', 'mahasiswa', 'jogja', 'gofoodgrabfood', 'shopeefood', 'penyelamat']",makan bks nasi kucing hahahahahahahahah mahasiswa jogja gofoodgrabfood shopeefood selamat,8,positif,1.0
2021-11-20 10:01:35+00:00,-ness untuk mbak2 driqver shopeefood inisal Z semangaatt yaa mbak.. kagum liat cewek kayak mbaknya hehe,ness untuk mbak driqver shopeefood inisal semangaatt yaa mbak kagum liat cewek kayak mbaknya hehe,ness untuk mbak driqver shopeefood inisal semangaatt ya mbak kagum lihat cewek seperti mbaknya hehe,ness mbak driqver shopeefood inisal semangaatt mbak kagum lihat cewek mbaknya,"['ness', 'mbak', 'driqver', 'shopeefood', 'inisal', 'semangaatt', 'mbak', 'kagum', 'lihat', 'cewek', 'mbaknya']",ness mbak driqver shopeefood inisal semangaatt mbak kagum lihat cewek mbak,6,positif,1.0
2021-11-20 10:00:00+00:00,"Ini cemilan seru untuk teman main game kamu, Share Box McD! Nikmatnya Mentai Sauce &amp; Renyahnya Spicy Seaweed Crunchy Bubbles khas Jepang, dipadu French Fries, Chicken Fingers &amp; Spicy Chicken Bites.

Pesan di McDonald's / McDelivery. Tersedia juga di GrabFood, GoFood &amp; ShopeeFood. https://t.co/y8EzqfVHZt",ini cemilan seru untuk teman main game kamu share box mcd nikmatnya mentai sauce amp renyahnya spicy seaweed crunchy bubbles khas jepang dipadu french fries chicken fingers amp spicy chicken bites pesan di mcdonald mcdelivery tersedia juga di grabfood gofood amp shopeefood,ini cemilan seru untuk teman main game kamu bagikan box mcd nikmatnya mentai sauce amp renyahnya spicy seaweed crunchy bubbles khas jepang dipadu french fries chicken fingers amp spicy chicken bites pesan di mcdonald mcdelivery tersedia juga di grabfood gofood amp shopeefood,cemilan seru teman main game bagikan box mcd nikmatnya mentai sauce renyahnya spicy seaweed crunchy bubbles khas jepang dipadu french fries chicken fingers spicy chicken bites pesan mcdonald mcdelivery tersedia grabfood gofood shopeefood,"['cemilan', 'seru', 'teman', 'main', 'game', 'bagikan', 'box', 'mcd', 'nikmatnya', 'mentai', 'sauce', 'renyahnya', 'spicy', 'seaweed', 'crunchy', 'bubbles', 'khas', 'jepang', 'dipadu', 'french', 'fries', 'chicken', 'fingers', 'spicy', 'chicken', 'bites', 'pesan', 'mcdonald', 'mcdelivery', 'tersedia', 'grabfood', 'gofood', 'shopeefood']",cemilan seru teman main game bagi box mcd nikmat mentai sauce renyah spicy seaweed crunchy bubbles khas jepang padu french fries chicken fingers spicy chicken bites pesan mcdonald mcdelivery sedia grabfood gofood shopeefood,22,positif,1.0
2021-11-20 09:55:31+00:00,"@shopeefood_id @ShopeeID Pesanan shopee food saya dibatalkan sistem, namun shopeepay saya belum kembali udah terpotong, gimana ya???!!",id pesanan shopee food saya dibatalkan sistem namun shopeepay saya belum kembali udah terpotong gimana ya,id pesanan shopee food saya dibatalkan sistem namun shopeepay saya belum kembali sudah terpotong bagaimana ya,id pesanan shopee food dibatalkan sistem shopeepay terpotong,"['id', 'pesanan', 'shopee', 'food', 'dibatalkan', 'sistem', 'shopeepay', 'terpotong']",id pesan shopee food batal sistem shopeepay potong,-9,negatif,0.0
2021-11-20 09:53:38+00:00,"3thn ngekost dirumah ibuk, baru setahunan ini punya temen kost kaya adek sendiri, nanyain mulu makan malem pake apa, minta bareng ke indomart, minta top-upin ovo/shopeefood kalo libur, curhat soal cowo wkwkwk dulu gue paling muda di kosan, eh sekarang tertua ke-2 👀 https://t.co/ujr3DHwGAf",thn ngekost dirumah ibuk baru setahunan ini punya temen kost kaya adek sendiri nanyain mulu makan malem pake apa minta bareng ke indomart minta topupin ovoshopeefood kalo libur curhat soal cowo wkwkwk dulu gue paling muda di kosan eh sekarang tertua ke,tahun ngekost dirumah ibuk baru setahunan ini punya teman kost seperti adek sendiri nanyain terus makan malem pakai apa minta bersama ke indomart minta topupin ovoshopeefood kalau libur curhat soal cowo wkwkwk dulu saya paling muda di kosan eh sekarang tertua ke,ngekost dirumah ibuk setahunan teman kost adek nanyain makan malem pakai indomart topupin ovoshopeefood libur curhat cowo wkwkwk muda kosan eh tertua,"['ngekost', 'dirumah', 'ibuk', 'setahunan', 'teman', 'kost', 'adek', 'nanyain', 'makan', 'malem', 'pakai', 'indomart', 'topupin', 'ovoshopeefood', 'libur', 'curhat', 'cowo', 'wkwkwk', 'muda', 'kosan', 'eh', 'tertua']",ngekost rumah ibuk tahun teman kost adek nanyain makan malem pakai indomart topupin ovoshopeefood libur curhat cowo wkwkwk muda kosan eh tua,6,positif,1.0
2021-11-20 09:47:05+00:00,Dari dalam tas ShopeeFood berisi bayi perempuan itu juga ditemukan sepucuk surat yang berisi nama lengkap bayi dan pesan untuk siapapun yang menemukan bayi tersebut. #publisherstory https://t.co/vBrbErDHzS,dari dalam tas shopeefood berisi bayi perempuan itu juga ditemukan sepucuk surat yang berisi nama lengkap bayi dan pesan untuk siapapun yang menemukan bayi tersebut,dari dalam tas shopeefood berisi bayi perempuan itu juga ditemukan sepucuk surat yang berisi nama lengkap bayi dan pesan untuk siapapun yang menemukan bayi tersebut,tas shopeefood berisi bayi perempuan ditemukan sepucuk surat berisi nama lengkap bayi pesan menemukan bayi,"['tas', 'shopeefood', 'berisi', 'bayi', 'perempuan', 'ditemukan', 'sepucuk', 'surat', 'berisi', 'nama', 'lengkap', 'bayi', 'pesan', 'menemukan', 'bayi']",tas shopeefood isi bayi perempuan temu pucuk surat isi nama lengkap bayi pesan temu bayi,3,positif,1.0
2021-11-20 09:41:51+00:00,"@detikcom @ShopeeID tolong di kasih perhatian dedek bayinya, soalanya udah promosiin shopeefood.",tolong di kasih perhatian dedek bayinya soalanya udah promosiin shopeefood,tolong di kasih perhatian dedek bayinya soalanya sudah promosiin shopeefood,tolong kasih perhatian dedek bayinya soalanya promosiin shopeefood,"['tolong', 'kasih', 'perhatian', 'dedek', 'bayinya', 'soalanya', 'promosiin', 'shopeefood']",tolong kasih perhati dedek bayi soalanya promosiin shopeefood,2,positif,1.0
2021-11-20 09:39:55+00:00,ini di gue doang apa gmn skrg shopeefood ongkirnya kenanya mahal bgt walaupun udah pake voucher gratong,ini di gue doang apa gmn skrg shopeefood ongkirnya kenanya mahal bgt walaupun udah pake voucher gratong,ini di saya saja apa bagaimana sekarang shopeefood ongkirnya kenanya mahal begitu walaupun sudah pakai voucher gratong,shopeefood ongkirnya kenanya mahal pakai voucher gratong,"['shopeefood', 'ongkirnya', 'kenanya', 'mahal', 'pakai', 'voucher', 'gratong']",shopeefood ongkirnya kena mahal pakai voucher gratong,1,positif,1.0
2021-11-20 09:39:03+00:00,"Bayi perempuan ditemukan warga Jalan Lingkar Timur, Desa Wadung Asih, Kecamatan Buduran, Kabupaten Sidoarjo. Bayi dalam kondisi masih hidup itu diletakkan dalam tas Shopee Food. #publisherstory https://t.co/koc8l33Xqc",bayi perempuan ditemukan warga jalan lingkar timur desa wadung asih kecamatan buduran kabupaten sidoarjo bayi dalam kondisi masih hidup itu diletakkan dalam tas shopee food,bayi perempuan ditemukan warga jalan lingkar timur desa wadung asih kecamatan buduran kabupaten sidoarjo bayi dalam kondisi masih hidup itu diletakkan dalam tas shopee food,bayi perempuan ditemukan warga jalan lingkar timur desa wadung asih kecamatan buduran kabupaten sidoarjo bayi kondisi hidup diletakkan tas shopee food,"['bayi', 'perempuan', 'ditemukan', 'warga', 'jalan', 'lingkar', 'timur', 'desa', 'wadung', 'asih', 'kecamatan', 'buduran', 'kabupaten', 'sidoarjo', 'bayi', 'kondisi', 'hidup', 'diletakkan', 'tas', 'shopee', 'food']",bayi perempuan temu warga jalan lingkar timur desa wadung asih camat budur kabupaten sidoarjo bayi kondisi hidup letak tas shopee food,-2,negatif,0.0
2021-11-20 09:34:05+00:00,Malu banget. Bisa-bisanya gue manggil mang Grabfood kirain orderan gue padahal gue ordernya lewat Shopeefood 🥲,malu banget bisabisanya gue manggil mang grabfood kirain orderan gue padahal gue ordernya lewat shopeefood,malu banget bisabisanya saya manggil memang grabfood kirain orderan saya padahal saya ordernya lewat shopeefood,malu banget bisabisanya manggil grabfood kirain orderan ordernya shopeefood,"['malu', 'banget', 'bisabisanya', 'manggil', 'grabfood', 'kirain', 'orderan', 'ordernya', 'shopeefood']",malu banget bisabisanya manggil grabfood kirain order order shopeefood,3,positif,1.0
2021-11-20 09:31:11+00:00,"Lama banget ga beli kokumi, omg thanks shopeefood,
Manfaatkan lah sebanyak2 nya,
Tapi jangan berlebih Wajah dengan air mata bahagia https://t.co/QxflTvFjNq",lama banget ga beli kokumi omg thanks shopeefood manfaatkan lah sebanyak nya tapi jangan berlebih wajah dengan air mata bahagia,lama banget tidak beli kokumi omg thanks shopeefood manfaatkan lah sebanyak nya tapi jangan berlebih wajah dengan air mata bahagia,banget beli kokumi omg thanks shopeefood manfaatkan berlebih wajah air mata bahagia,"['banget', 'beli', 'kokumi', 'omg', 'thanks', 'shopeefood', 'manfaatkan', 'berlebih', 'wajah', 'air', 'mata', 'bahagia']",banget beli kokumi omg thanks shopeefood manfaat lebih wajah air mata bahagia,13,positif,1.0
2021-11-20 09:29:14+00:00,pngn shopeefood tp gue kasian sm abangnya. kejauhan soalnya. resiko tinggal d kampung,pngn shopeefood tp gue kasian sm abangnya kejauhan soalnya resiko tinggal kampung,pngn shopeefood tapi saya kasihan sama abangnya kejauhan soalnya resiko tinggal kampung,pngn shopeefood kasihan abangnya kejauhan resiko tinggal kampung,"['pngn', 'shopeefood', 'kasihan', 'abangnya', 'kejauhan', 'resiko', 'tinggal', 'kampung']",pngn shopeefood kasihan abang jauh resiko tinggal kampung,1,positif,1.0
2021-11-20 09:26:59+00:00,"Bestnya guna shopeefood, free delivery voucher dengan discount voucher boleh guna serentak. Save banyak woooo..",bestnya guna shopeefood free delivery voucher dengan discount voucher boleh guna serentak save banyak woooo,bestnya guna shopeefood free delivery voucher dengan discount voucher boleh guna serentak save banyak woooo,bestnya shopeefood free delivery voucher discount voucher serentak save woooo,"['bestnya', 'shopeefood', 'free', 'delivery', 'voucher', 'discount', 'voucher', 'serentak', 'save', 'woooo']",bestnya shopeefood free delivery voucher discount voucher serentak save woooo,12,positif,1.0
2021-11-20 09:22:30+00:00,hawa nya tu bikin pengen buka shopeefood mulu:) wkwk,hawa nya tu bikin pengen buka shopeefood mulu wkwk,hawa nya itu bikin ingin buka shopeefood terus wkwk,hawa buka shopeefood wkwk,"['hawa', 'buka', 'shopeefood', 'wkwk']",hawa buka shopeefood wkwk,-1,negatif,0.0
2021-11-20 08:57:24+00:00,Pasuruan udah ada shopeefood yeay,pasuruan udah ada shopeefood yeay,pasuruan sudah ada shopeefood yeay,pasuruan shopeefood yeay,"['pasuruan', 'shopeefood', 'yeay']",pasuruan shopeefood yeay,0,netral,2.0
2021-11-20 08:55:59+00:00,"beli lotek 3 bungkus + 1 bungkus rujak totalnya 20k, sukaa bgt sama promo shopeefood 👍",beli lotek bungkus bungkus rujak totalnya k sukaa bgt sama promo shopeefood,beli lotek bungkus bungkus rujak totalnya ke sukaa begitu sama promo shopeefood,beli lotek bungkus bungkus rujak totalnya sukaa promo shopeefood,"['beli', 'lotek', 'bungkus', 'bungkus', 'rujak', 'totalnya', 'sukaa', 'promo', 'shopeefood']",beli lotek bungkus bungkus rujak total sukaa promo shopeefood,5,positif,1.0
