,Unnamed: 0,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Bobot,Label,Sentimen
0,0,2021-12-27 05:59:21+00:00,"lupa kalau pesan shopeefood, drivernya nanya ga kujawab https://t.co/vPybamiRwQ",lupa kalau pesan shopeefood drivernya nanya ga kujawab,lupa kalau pesan shopeefood drivernya nanya tidak kujawab,lupa pesan shopeefood drivernya nanya kujawab,"['lupa', 'pesan', 'shopeefood', 'drivernya', 'nanya', 'jawab']",5,positive,2.0
1,1,2021-12-27 05:58:11+00:00,"When kamu pengen grabfood or Shopeefood, tapi tempat tinggalmu udah kayak hatinya, 
Unreachable 🙂",when kamu pengen grabfood or shopeefood tapi tempat tinggalmu udah kayak hatinya unreachable,when kamu ingin grabfood atau shopeefood tapi tempat tinggalmu sudah seperti hatinya unreachable,when grabfood shopeefood tinggalmu hatinya unreachable,"['when', 'grabfood', 'shopeefood', 'tinggal', 'hati', 'unreachable']",3,positive,2.0
2,2,2021-12-27 05:51:23+00:00,Shopeefood penyelamat akhir bulanku 🥺🥺,shopeefood penyelamat akhir bulanku,shopeefood penyelamat akhir bulanku,shopeefood penyelamat bulanku,"['shopeefood', 'selamat', 'bulan']",4,positive,2.0
3,3,2021-12-27 05:50:57+00:00,pengen shopeefood tp ujan,pengen shopeefood tp ujan,ingin shopeefood tapi hujan,shopeefood hujan,"['shopeefood', 'hujan']",1,positive,2.0
4,4,2021-12-27 05:47:58+00:00,"RT @RJinoona: Btw tumblr BT21 Chatime udah tersedia, bisa digojek, grabfood, shopeefood. Cm dijualnya tuh dlm paket bundle gitu. Ada yg sam…",rt btw tumblr bt chatime udah tersedia bisa digojek grabfood shopeefood cm dijualnya tuh dlm paket bundle gitu ada yg sam,rt ngomong-ngomong tumblr bt chatime sudah tersedia bisa digojek grabfood shopeefood hanya dijualnya  itu dalam paket bundle begitu ada yang sam,ngomong-ngomong tumblr bt chatime tersedia digojek grabfood shopeefood dijualnya paket bundle sam,"['ngomong-ngomong', 'tumblr', 'bt', 'chatime', 'sedia', 'gojek', 'grabfood', 'shopeefood', 'jual', 'paket', 'bundle', 'sam']",7,positive,2.0
5,5,2021-12-27 05:47:23+00:00,@hightodayyy ngaca lo yg lebih boroz di shopeefood,ngaca lo yg lebih boroz di shopeefood,mengaca kamu yang lebih boroz di shopeefood,mengaca boroz shopeefood,"['kaca', 'boroz', 'shopeefood']",0,neutral,1.0
6,6,2021-12-27 05:44:05+00:00,siapa yg di rumah tp shopeefood mulu😇,siapa yg di rumah tp shopeefood mulu,siapa yang di rumah tapi shopeefood terus,rumah shopeefood,"['rumah', 'shopeefood']",3,positive,2.0
7,7,2021-12-27 05:40:19+00:00,"RT @AkuSukaRacun: Yuk pesta ShopeeFood di Akhir Tahun 🥳

📍Jabodetabek 
https://t.co/bEQ4zhfyQW https://t.co/acRbSzESNN",rt yuk pesta shopeefood di akhir tahun jabodetabek,rt yuk pesta shopeefood di akhir tahun jabodetabek,yuk pesta shopeefood jabodetabek,"['yuk', 'pesta', 'shopeefood', 'jabodetabek']",8,positive,2.0
8,8,2021-12-27 05:38:52+00:00,"@Jaring_UburUbur @SalsabilaJK @darahkOebiru @collegemenfess shopeefood malah boros. Diskon 60% min. pembelian 30k,… https://t.co/2KgMCOu3pA",uburubur shopeefood malah boros diskon min pembelian k,uburubur shopeefood malah boros potongan harga minimal pembelian ke,uburubur shopeefood boros potongan harga minimal pembelian,"['uburubur', 'shopeefood', 'boros', 'potong', 'harga', 'minimal', 'beli']",-5,negative,2.0
9,9,2021-12-27 05:37:39+00:00,@haebaaraagii hshshshs aku ngga begitu paham pake shopeefood... t_____t,hshshshs aku ngga begitu paham pake shopeefood tt,hshshshs saya tidak begitu paham pakai shopeefood tt,hshshshs paham pakai shopeefood tt,"['hshshshs', 'paham', 'pakai', 'shopeefood', 'tt']",-2,negative,0.0
10,10,2021-12-27 05:36:52+00:00,"jangankan kamu, drivernya shopeefood aja tak tracking🙂",jangankan kamu drivernya shopeefood aja tak tracking,jangankan kamu drivernya shopeefood aja tidak tracking,drivernya shopeefood tracking,"['drivernya', 'shopeefood', 'tracking']",0,neutral,1.0
11,11,2021-12-27 05:36:32+00:00,"@SKeduniawian @FOODFESS2 shopeefood ka, di gofood/grabfood jg ada",shopeefood ka di gofoodgrabfood jg ada,shopeefood ka di gofoodgrabfood juga ada,shopeefood ka gofoodgrabfood,"['shopeefood', 'ka', 'gofoodgrabfood']",0,neutral,1.0
12,12,2021-12-27 05:35:25+00:00,salah satu dari kurang enaknya tinggal diluar jawa adalah sedikitnya promo promo gofood / grabfood / shopeefood. ev… https://t.co/qOKR9ofj62,salah satu dari kurang enaknya tinggal diluar jawa adalah sedikitnya promo promo gofood grabfood shopeefood ev,salah satu dari kurang enaknya tinggal diluar jawa adalah sedikitnya promo promo gofood grabfood shopeefood ev,salah enaknya tinggal diluar jawa promo promo gofood grabfood shopeefood ev,"['salah', 'enak', 'tinggal', 'luar', 'jawa', 'promo', 'promo', 'gofood', 'grabfood', 'shopeefood', 'ev']",8,positive,2.0
13,13,2021-12-27 05:35:03+00:00,"RT @BearBobba: BEAR BOBBA LOWOKWARU
50% Disc #ShopeeFood #GrabFood #GoFood

Boba Brown Sugar 13K #BigCup22oz

https://t.co/vC8weM4ZSz

#Inf…",rt bear bobba lowokwaru disc boba brown sugar k,rt bear bobba lowokwaru disc boba brown sugar ke,bear bobba lowokwaru disc boba brown sugar,"['bear', 'bobba', 'lowokwaru', 'disc', 'boba', 'brown', 'sugar']",0,neutral,1.0
14,14,2021-12-27 05:34:41+00:00,@sevngminbogor cari yg promo shopeefood 70% wkwkwk,cari yg promo shopeefood wkwkwk,cari yang promo shopeefood wkwkwk,cari promo shopeefood wkwkwk,"['cari', 'promo', 'shopeefood', 'wkwkwk']",3,positive,2.0
15,15,2021-12-27 05:32:27+00:00,"BEAR BOBBA LOWOKWARU
50% Disc #ShopeeFood #GrabFood #GoFood

Boba Brown Sugar 13K #BigCup22oz… https://t.co/R9qCK4sVwA",bear bobba lowokwaru disc boba brown sugar k,bear bobba lowokwaru disc boba brown sugar ke,bear bobba lowokwaru disc boba brown sugar,"['bear', 'bobba', 'lowokwaru', 'disc', 'boba', 'brown', 'sugar']",0,neutral,1.0
16,16,2021-12-27 05:30:11+00:00,kalo pesen grabfood/shopeefood lagi hujan deres gini sopan ga ya? ko gue kasian gatega ngebayangin nanti babangnya… https://t.co/iQp4W7Ek06,kalo pesen grabfoodshopeefood lagi hujan deres gini sopan ga ya ko gue kasian gatega ngebayangin nanti babangnya,kalau pesan grabfoodshopeefood lagi hujan deres begini sopan tidak ya kok saya kasihan gatega membayangkan nanti babangnya,pesan grabfoodshopeefood hujan deres sopan kasihan gatega membayangkan babangnya,"['pesan', 'grabfoodshopeefood', 'hujan', 'deres', 'sopan', 'kasihan', 'gatega', 'bayang', 'babang']",10,positive,2.0
17,17,2021-12-27 05:29:19+00:00,"Makasih shopeefood, u emang paling keren kalo kasih diskon 👍🏻 https://t.co/b9rBz1byUk",makasih shopeefood emang paling keren kalo kasih diskon,makasih shopeefood memang paling keren kalau kasih potongan harga,makasih shopeefood keren kasih potongan harga,"['makasih', 'shopeefood', 'keren', 'kasih', 'potong', 'harga']",7,positive,2.0
18,18,2021-12-27 05:18:47+00:00,shopeefood penyelamat akhir bulan❤️‍🔥 https://t.co/V75EJD7nnl,shopeefood penyelamat akhir bulan,shopeefood penyelamat akhir bulan,shopeefood penyelamat,"['shopeefood', 'selamat']",5,positive,2.0
19,19,2021-12-27 05:15:50+00:00,OM GUE PERTAMA KALI PAKE SHOPEEFOOD KESENENGAN BANGETT,om gue pertama kali pake shopeefood kesenengan bangett,om saya pertama kali pakai shopeefood kesenengan banget,om kali pakai shopeefood kesenengan banget,"['om', 'kali', 'pakai', 'shopeefood', 'neng', 'banget']",6,positive,2.0
20,20,2021-12-27 05:10:46+00:00,@vanntasia @convomf Idk? Tapi shopeefood cuma pesen sekali doang kak wkwk,idk tapi shopeefood cuma pesen sekali doang kak wkwk,idk tapi shopeefood hanya pesan sekali saja kak wkwk,idk shopeefood pesan kak wkwk,"['idk', 'shopeefood', 'pesan', 'kak', 'wkwk']",-1,negative,2.0
21,21,2021-12-27 05:06:56+00:00,sumpah ini kalo gue lagi ga di kampung gue udah order shopeefood tiap hari,sumpah ini kalo gue lagi ga di kampung gue udah order shopeefood tiap hari,sumpah ini kalau saya lagi tidak di kampung saya sudah order shopeefood setiap hari,sumpah kampung order shopeefood,"['sumpah', 'kampung', 'order', 'shopeefood']",3,positive,2.0
22,22,2021-12-27 05:06:02+00:00,"Cek shopeefood banyak diskonan, mayan nih..
Tapi
Chat temen yg lagi di kantin suruh pap cemilan, oh ternyata jauh l… https://t.co/QAtngkqOeA",cek shopeefood banyak diskonan mayan nih tapi chat temen yg lagi di kantin suruh pap cemilan oh ternyata jauh,cek shopeefood banyak diskonan mayan ini tapi chat teman yang lagi di kantin suruh pap cemilan oh ternyata jauh,cek shopeefood diskonan mayan chat teman kantin suruh pap cemilan oh,"['cek', 'shopeefood', 'diskon', 'mayan', 'chat', 'teman', 'kantin', 'suruh', 'pap', 'cemilan', 'oh']",-5,negative,0.0
23,23,2021-12-27 05:04:48+00:00,"Gofood udah ga bakar² duit lagi ya? Huhuhu

Grabfood pusing sistemnya. Lapar ya kapan pesennya kapan.

Shopeefood t… https://t.co/K365Rz9eGg",gofood udah ga bakar duit lagi ya huhuhu grabfood pusing sistemnya lapar ya kapan pesennya kapan shopeefood,gofood sudah tidak bakar uang lagi ya huhuhu grabfood pusing sistemnya lapar ya kapan pesennya kapan shopeefood,gofood bakar uang huhuhu grabfood pusing sistemnya lapar pesennya shopeefood,"['gofood', 'bakar', 'uang', 'huhuhu', 'grabfood', 'pusing', 'sistem', 'lapar', 'sen', 'shopeefood']",-14,negative,0.0
24,24,2021-12-27 05:04:06+00:00,"Wts voucher shopeefood, fee 2K aja via spay. Ada voucher gratis ongkir jugaaa yuk dm aja! #zonauangᅠᅠᅠ #ShopeeFood https://t.co/eV2EarNWH7",wts voucher shopeefood fee k aja via spay ada voucher gratis ongkir jugaaa yuk dm aja,wts voucher shopeefood fee ke aja via spay ada voucher gratis ongkir jugaaa yuk dm aja,wts voucher shopeefood fee via spay voucher gratis ongkir jugaaa yuk dm,"['wts', 'voucher', 'shopeefood', 'fee', 'via', 'spay', 'voucher', 'gratis', 'ongkir', 'jugaaa', 'yuk', 'dm']",14,positive,2.0
25,25,2021-12-27 05:02:20+00:00,"@shopeefood_id semakin menuruh aja vouchernya, udah gak 60 persen lagi. Terima kasih sopifod yang makin mahal.",id semakin menuruh aja vouchernya udah gak persen lagi terima kasih sopifod yang makin mahal,id semakin menuruh aja vouchernya sudah tidak persen lagi terima kasih sopifod yang makin mahal,id menuruh vouchernya persen terima kasih sopifod mahal,"['id', 'menuruh', 'vouchernya', 'persen', 'terima', 'kasih', 'sopifod', 'mahal']",7,positive,2.0
26,26,2021-12-27 04:53:14+00:00,336 diitung sama tiap beli pulsa &amp; shopeefood apa gimana deh 🤡,diitung sama tiap beli pulsa amp shopeefood apa gimana deh,diitung sama setiap beli pulsa amp shopeefood apa bagaimana deh,diitung beli pulsa shopeefood deh,"['diitung', 'beli', 'pulsa', 'shopeefood', 'deh']",-1,negative,2.0
27,27,2021-12-27 04:39:14+00:00,@3Gman6 @RacunBelanja Ora kowe mlebu shopeefood njur klik merchant sg ana tanda diskon 100%,ora kowe mlebu shopeefood njur klik merchant sg ana tanda diskon,tidak kamu mlebu shopeefood njur klik merchant sg ana tanda potongan harga,mlebu shopeefood njur klik merchant sg ana tanda potongan harga,"['mlebu', 'shopeefood', 'njur', 'klik', 'merchant', 'sg', 'ana', 'tanda', 'potong', 'harga']",1,positive,2.0
28,28,2021-12-27 04:34:59+00:00,"@bluefairyKJI kskskks ya allah nasib duduk jauh kat perak ni , setakat ni tak nampak lagi shopeefood motor tu 🤣 goo… https://t.co/y0Siz3oCFN",kskskks ya allah nasib duduk jauh kat perak ni setakat ni tak nampak lagi shopeefood motor tu goo,kskskks ya allah nasib duduk jauh kat perak ini setakat ini tidak nampak lagi shopeefood motor itu goo,kskskks allah nasib duduk kat perak setakat nampak shopeefood motor goo,"['kskskks', 'allah', 'nasib', 'duduk', 'kat', 'perak', 'takat', 'nampak', 'shopeefood', 'motor', 'goo']",6,positive,2.0
