,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Bobot,Label,Sentimen
0,2021-12-22 12:44:17+00:00,"when lo mau pesen sesuatu di syopifud, but syopipey klean kurang sedikit, it's the level of JNCK SY KZL BGT",when lo mau pesen sesuatu di syopifud but syopipey klean kurang sedikit it the level of jnck sy kzl bgt,when kamu mau pesan sesuatu di syopifud but syopipey kalian kurang sedikit it the level of jnck saya kesal begitu,when pesan syopifud but syopipey it the level of jnck kesal,"['when', 'pesan', 'syopifud', 'but', 'syopipey', 'it', 'the', 'level', 'of', 'jnck', 'kesal']",6,positive,1.0
1,2021-12-22 12:21:03+00:00,"""Kok aku demam ya?""
""Abis dr mana km? Cek cb pake termometer brp nek tinggi minum obat""
""Ga knp2 tp blm makan nasi… https://t.co/7Vy3msNRN3",kok aku demam ya abis dr mana km cek cb pake termometer brp nek tinggi minum obat ga knp tp blm makan nasi,kok saya demam ya habis dari mana kamu cek coba pakai termometer berapa nek tinggi minum obat tidak kenapa tapi belum makan nasi,demam habis cek coba pakai termometer nek minum obat makan nasi,"['demam', 'habis', 'cek', 'coba', 'pakai', 'termometer', 'nek', 'minum', 'obat', 'makan', 'nasi']",-2,negative,0.0
2,2021-12-22 11:58:44+00:00,"Please hujan reda dong w mau ke warung mau masak, order syopifud kesian juga sama abangnya 🥺",please hujan reda dong mau ke warung mau masak order syopifud kesian juga sama abangnya,tolong hujan reda dong mau ke warung mau masa order syopifud kesian juga sama abangnya,tolong hujan reda warung order syopifud kesian abangnya,"['tolong', 'hujan', 'reda', 'warung', 'order', 'syopifud', 'kesi', 'abang']",1,positive,1.0
3,2021-12-22 10:06:15+00:00,@naaazzzs Gaada gofud adanya syopifud nas 😭😭 https://t.co/Wx6qqOYYeA,gaada gofud adanya syopifud nas,tidak ada gofud adanya syopifud nas,gofud syopifud nas,"['gofud', 'syopifud', 'nas']",0,neutral,2.0
4,2021-12-22 09:17:04+00:00,"@convomf pake syopifud nder, diskonnya mantep",pake syopifud nder diskonnya mantep,pakai syopifud nder diskonnya mantep,pakai syopifud nder diskonnya mantep,"['pakai', 'syopifud', 'nder', 'diskon', 'mantep']",2,positive,1.0
5,2021-12-22 09:00:18+00:00,"Pgn nangis, jajan di bdg pake syopifud selalu cuma 20rebuan udh dapet 3-4 macem taugak:(((((",pgn nangis jajan di bdg pake syopifud selalu cuma rebuan udh dapet macem taugak,ingin nangis jajan di bandung pakai syopifud selalu hanya rebuan sudah dapat macam taugak,nangis jajan bandung pakai syopifud rebuan taugak,"['nang', 'jajan', 'bandung', 'pakai', 'syopifud', 'rebu', 'taugak']",-6,negative,0.0
6,2021-12-22 06:55:01+00:00,"Oyi pngen beliin ini buat ibu sukanya martabak pecenongan, cari di syopifud cuma ada ini menunya. Ini pake daging g… https://t.co/mU9mshaXiH",oyi pngen beliin ini buat ibu sukanya martabak pecenongan cari di syopifud cuma ada ini menunya ini pake daging,oyi ingin beliin ini buat ibu sukanya martabak pecenongan cari di syopifud hanya ada ini menunya ini pakai daging,oyi beliin sukanya martabak pecenongan cari syopifud menunya pakai daging,"['oyi', 'beliin', 'suka', 'martabak', 'pecenongan', 'cari', 'syopifud', 'menu', 'pakai', 'daging']",-1,negative,0.0
7,2021-12-22 06:34:04+00:00,"*Mz2 syopifud : 👨‍🚀
*Aq : 👼

👨‍🚀: orang medan ya mz?
👼: bukan, padang mz
👨‍🚀: oalah padang, di sana rajanya perempu… https://t.co/S4T1NIxWgp",mz syopifud aq orang medan ya mz bukan padang mz oalah padang di sana rajanya perempu,mz syopifud saya orang medan ya mz bukan padang mz aduh padang di sana rajanya perempu,mz syopifud orang medan mz padang mz aduh padang rajanya perempu,"['mz', 'syopifud', 'orang', 'medan', 'mz', 'padang', 'mz', 'aduh', 'padang', 'raja', 'empu']",1,positive,1.0
8,2021-12-22 06:02:14+00:00,Beli grab/syopifud biar dpt diskon problem: https://t.co/MubID5UnnU,beli grabsyopifud biar dpt diskon problem,beli grabsyopifud biar dapat potongan harga problem,beli grabsyopifud potongan harga problem,"['beli', 'grabsyopifud', 'potong', 'harga', 'problem']",-1,negative,0.0
9,2021-12-22 05:51:08+00:00,"@ratnaillahi habis post ini, mastom tlp dooong, ada pak2 syopifud di depan 😱 kirim ijab qobul..
tetapi jangan khawa… https://t.co/lVSrcyYzAq",habis post ini mastom tlp dooong ada pak syopifud di depan kirim ijab qobul tetapi jangan khawa,habis post ini mastom tlp dooong ada bapak syopifud di depan kirim ijab qobul tetapi jangan khawa,habis post mastom tlp dooong syopifud kirim ijab qobul khawa,"['habis', 'post', 'mastom', 'tlp', 'dooong', 'syopifud', 'kirim', 'ijab', 'qobul', 'khawa']",7,positive,1.0
