,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming
0,2021-12-27 01:39:55+00:00,"@definitelyjulid kalo ada motor dan suka jalan2, coba daftar shopeefood",kalo ada motor dan suka jalan coba daftar shopeefood,kalau ada motor dan suka jalan coba daftar shopeefood,motor suka jalan coba daftar shopeefood,"['motor', 'suka', 'jalan', 'coba', 'daftar', 'shopeefood']"
1,2021-12-27 01:23:46+00:00,"ih marah bgt skrg udah gada promo 60% min purcase 40rb nya @shopeefood_id diganti 40% min purchase 75rb.
gamau ah! balikan ga! mogok makan nih 🤐",ih marah bgt skrg udah gada promo min purcase rb nya id diganti min purchase rb gamau ah balikan ga mogok makan nih,ih marah begitu sekarang sudah tidak ada promo minimal purcase rb nya id diganti minimal purchase rb tidak mau ah balikan tidak mogok makan ini,ih marah promo minimal purcase rb id diganti minimal purchase rb ah balikan mogok makan,"['ih', 'marah', 'promo', 'minimal', 'purcase', 'rb', 'id', 'ganti', 'minimal', 'purchase', 'rb', 'ah', 'balik', 'mogok', 'makan']"
2,2021-12-27 01:17:05+00:00,ini shopee gamau bikin bersi shopeefood apa ya yaallah kek nya gue bakal pingsan kalau ada. :( https://t.co/mttqTrtCHP,ini shopee gamau bikin bersi shopeefood apa ya yaallah kek nya gue bakal pingsan kalau ada,ini shopee tidak mau bikin bersi shopeefood apa ya yaallah seperti nya saya bakal pingsan kalau ada,shopee bersi shopeefood yaallah pingsan,"['shopee', 'bersi', 'shopeefood', 'yaallah', 'pingsan']"
3,2021-12-27 01:09:34+00:00,"Untung yang di-track cuma belanja, bukan ShopeeFood #2021BersamaShopee https://t.co/Bc91x8gpWC",untung yang ditrack cuma belanja bukan shopeefood,untung yang ditrack hanya belanja bukan shopeefood,untung ditrack belanja shopeefood,"['untung', 'ditrack', 'belanja', 'shopeefood']"
4,2021-12-27 01:06:38+00:00,"@collegemenfess masak nasi sendiri. beli lauk pakai voucher shopeefood. dulu jaman kosan ada dapurnya, menu masakan udah di list mingguan. jadi belanja seperlu nya aja🧚🏻‍♀️🧚🏻‍♀️",masak nasi sendiri beli lauk pakai voucher shopeefood dulu jaman kosan ada dapurnya menu masakan udah di list mingguan jadi belanja seperlu nya aja,masa nasi sendiri beli lauk pakai voucher shopeefood dulu zaman kosan ada dapurnya menu masakan sudah di list mingguan jadi belanja seperlu nya aja,nasi beli lauk pakai voucher shopeefood zaman kosan dapurnya menu masakan list mingguan belanja seperlu,"['nasi', 'beli', 'lauk', 'pakai', 'voucher', 'shopeefood', 'zaman', 'kosan', 'dapur', 'menu', 'masakan', 'list', 'minggu', 'belanja', 'perlu']"
5,2021-12-27 01:05:51+00:00,@ojema_ yuk bergabung untuk menjadi mitra shopee food caranya mudah loh tinggal input di link pendaftaran https://t.co/veKACs85Qy atau bisa langsung scan barcode pada gambar ini yaa... https://t.co/sl4OLT5a3H,yuk bergabung untuk menjadi mitra shopee food caranya mudah loh tinggal input di link pendaftaran atau bisa langsung scan barcode pada gambar ini yaa,yuk bergabung untuk menjadi mitra shopee food caranya mudah loh tinggal input di link pendaftaran atau bisa langsung scan barcode pada gambar ini ya,yuk bergabung mitra shopee food mudah tinggal input link pendaftaran langsung scan barcode gambar,"['yuk', 'gabung', 'mitra', 'shopee', 'food', 'mudah', 'tinggal', 'input', 'link', 'daftar', 'langsung', 'scan', 'barcode', 'gambar']"
6,2021-12-27 01:04:26+00:00,"@collegemenfess Nasi bikin sendiri buat 2 kali makan, trus lauknya beli pake shopeefood yg diskon 50-70% jadi mantep tuh 15K dapet 2 porsi makan plus nasi malah kadang",nasi bikin sendiri buat kali makan trus lauknya beli pake shopeefood yg diskon jadi mantep tuh k dapet porsi makan plus nasi malah kadang,nasi bikin sendiri buat kali makan terus lauknya beli pakai shopeefood yang potongan harga jadi mantep  itu ke dapat porsi makan plus nasi malah kadang,nasi kali makan lauknya beli pakai shopeefood potongan harga mantep porsi makan plus nasi kadang,"['nasi', 'kali', 'makan', 'lauk', 'beli', 'pakai', 'shopeefood', 'potong', 'harga', 'mantep', 'porsi', 'makan', 'plus', 'nasi', 'kadang']"
7,2021-12-27 00:59:14+00:00,"sarapan dlu y g y , pake shopeefood dari 60 jadi 27 ribu, thanks to @dhars7_",sarapan dlu pake shopeefood dari jadi ribu thanks to,sarapan dulu pakai shopeefood dari jadi ribu thanks to,sarapan pakai shopeefood ribu thanks to,"['sarap', 'pakai', 'shopeefood', 'ribu', 'thanks', 'to']"
8,2021-12-27 00:54:07+00:00,"Yuk mampir di shopee saya , saya baru blajar untuk jualan #ShopeeID #Shopee #ShopeeFood #Shopee1212",yuk mampir di shopee saya saya baru blajar untuk jualan,yuk mampir di shopee saya saya baru blajar untuk jualan,yuk mampir shopee blajar jualan,"['yuk', 'mampir', 'shopee', 'blajar', 'jual']"
9,2021-12-27 00:51:27+00:00,"Bismillah aku share di tweeter 🥺🙏 ,, semoga aja Allah memberi jalan buat rejeki nya ,, @ShopeeID @shopeefood_id  saya baru mulai insyaallah bisa ikut maju dan sukses kayak orang lain yg usaha di shopee 🥰 amin 🙏 https://t.co/e8sLFfv0Ja",bismillah aku share di tweeter semoga aja allah memberi jalan buat rejeki nya id saya baru mulai insyaallah bisa ikut maju dan sukses kayak orang lain yg usaha di shopee amin,bismillah saya bagikan di twitter semoga aja allah memberi jalan buat rejeki nya id saya baru mulai insyaa allah bisa ikut maju dan sukses seperti orang lain yang usaha di shopee amin,bismillah bagikan twitter semoga allah jalan rejeki id insyaa allah maju sukses orang usaha shopee amin,"['bismillah', 'bagi', 'twitter', 'moga', 'allah', 'jalan', 'rejeki', 'id', 'insyaa', 'allah', 'maju', 'sukses', 'orang', 'usaha', 'shopee', 'amin']"
