tweet_id,tweet_text,polarity
1,telat claim voc 100% shopeefood fak :(,neutral
2,"Fuck you shopeefood, i started cooking
👉🍛😏🍲👈 https://t.co/xGh8szFrfl",positive
3,"@ShopeeID MALMING BARENG SHOPEE
PESEN MAKANNYA PAKE SHOPEEFOOD",positive
4,@araaaaaja shopeefood https://t.co/hOzcbiXK4p,positive
5,@txtdriaurora Shopeefood ae lorrr,positive
6,Emang dabest shopeefood❤️‍🔥❤️‍🔥❤️‍🔥,positive
7,@doughnadh aku order through shopeefood nyah,positive
8,shopeefood ya ges yak,positive
9,Need akun baru shopee buat order shopeefood dong #zonauang️ #zonajajan,positive
10,+ shopeefood,positive
11,@naufaliadr shopeefood as always😋,positive
12,@__renjanaa Pake shopeefood,positive
13,When your favorite lontong kikil isn't available in gofood nor shopeefood 🥲 the only worthy reason to go out. https://t.co/lRjODOQaJG,positive
14,"RT @ShopeeMY: Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood! https://t.co/CR6FEjjz3U…",positive
15,@cooljasonsmooth tf is shopeefood,positive
16,"RT @ShopeeMY: Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood! https://t.co/CR6FEjjz3U…",positive
17,@dzhafiz_ Cuba shopeefood,positive
18,wtb voucher shopeefood yang min 20k #zonauang #zonaba,negative
19,"Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood!… https://t.co/yCAbnCYE3X",positive
20,Shopeefood anj gua laper bangsad,positive
21,Ordered kimbap and bulgogi deopbap from Myeongdong Toppoki via shopeefood. Total price RM41.31 but after discount a… https://t.co/jwAo3bP2MG,neutral
22,Last last order jugak shopeefood hahh,negative
23,Shopeefood &gt;&gt;&gt; grabfood gofood,positive
24,@sbyfess Shopeefood adanya,positive
25,ShopeeFood &gt;&gt;&gt;&gt;&gt; Foodpanda &amp; GrabFood,positive
26,that shopeefood rider was so nice i hope you get many orders bang 😔✋🏻,positive
27,oh I forget. my bestfriend graduated today and i havent bought any flowers for her. should i send jiwa toast and co… https://t.co/BbhRMSwJRJ,negative
28,"Hi @ShopeeID , Im your loyal customer and very benefited with the ShopeeFood feature. Being cashless is a lifestyle… https://t.co/txytsJAbRW",positive
29,"RT @shopeecheckk: SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery (No m…",neutral
30,"SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery… https://t.co/upOhLDax9F",neutral
31,@preikanankiri Dan promo 60% shopeefood 😀😀😀,neutral
32,Cane eh nak register jadi rider shopeefood?,positive
33,"Hobiku scrolling2 gofood, grabfood,shopeefood, travelokaeats on repeat.",negative
34,@sugagIidder Gas shopeefood,negative
35,Received a wrong order from shopeefood the other day and yayy I'll get a refund for that. Tak pernah lagi la sebelum ni dapat order salah.,positive
36,waiting KFC to join shopeefood in my area 🥱,positive
37,info promo shopeefood? laperr bett,neutral
38,@collegemenfess Almet shopeefood (?),positive
39,shopeefood https://t.co/0sSb4S0vDu,positive
40,Thanks shopeefood makan beef rice bowl cuma 18k,positive
41,function la shopeefood. boleh tolak coins,positive
42,"RT @ShopeeMY: Friday Dinner suggestion: Agrain 🍴😋

Get your healthy meal delivered to your doorstep! Dah lapar? ShopeeFood je~ 

🏍 Free Del…",positive
43,RT @hainasipadang: Tim shopeefood ada?? ♥️ https://t.co/TbOnoAlKru,positive
44,RT @kitkatmiao: @foodpanda_my Or you can try ShopeeFood! https://t.co/IyhPRfQbNj,neutral
45,RT @wnn_tasha: First time try ShopeeFood ni https://t.co/rJb8ZTHA6G,positive
46,"RT @ShopeeMY: Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you paid for!…",negative
47,"RT @peachjuicyyy: Today's lunch + dessert. ShopeeFood is a lifesaver. I'm not kidding when i say I'm obsessed. So many good deals.
🥲🤤
#Shop…",positive
48,"RT @ShopeeMY: Looking for nom nom nom?
Enjoy these limited time vouchers with up to RM11 OFF + FREE Delivery with no min. spend!
Drooling?…",positive
49,shopeefood love ❤️,positive
50,I’m loving all the free deliveries and discounts on ShopeeFood 😭,neutral
51,"Gokana Chicken Hot Ramen + Chicken Original Bento cuma 40K pake shopeefood harin
 https://t.co/bOEhZH3GRP",negative
52,@masxnxx__ takirain pke jket shopeefood,positive
53,"Friday Dinner suggestion: Agrain 🍴😋

Get your healthy meal delivered to your doorstep! Dah lapar? ShopeeFood je~… https://t.co/dOcAGKUxfi",positive
54,nak order tealive kat shopeefood and then minum sambil tengok en-connect hehe,positive
55,@anjanievi Shopeefood buk,positive
56,@txtdrorgmiskin Shopeefood driver join the race,neutral
57,sponsor by shopeefood 🥰 https://t.co/b5BdsD0MFz,positive
58,@vianiekaokta shopeefood dong,positive
59,@siti_pikah Iqa guna shopeefood.. free delivery,neutral
60,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…",positive
61,".@ShopeePH Food rumors that it will be a new delivery service soon such as @iammanginasal, @pizzahutphils, and many… https://t.co/DrOdEGk3Jw",neutral
62,@TongSate Shopeefood,positive
63,god bless shopeefood,positive
64,"We are AVAILABLE FOR DINE IN &amp; TAKEAWAY
#supportlocalbusiness 
.
Ipoh Shredded Chicken Kuey Teow @ Restoran MJ Wang… https://t.co/xhjlBGIOct",neutral
65,"Welldone if you catch what the man has mis-steak-en the waiter’s question for 🥩. If you are like him, who has cravi… https://t.co/p8AVydJaCC",positive
66,@convomfs shopeefood,positive
67,RT @aizatakrm: I’m #hiring for an open role. Know anyone who would be a good fit? #shopee #shopeefood  https://t.co/oq9yneiwMF,positive
68,I’m #hiring for an open role. Know anyone who would be a good fit? #shopee #shopeefood  https://t.co/oq9yneiwMF,positive
69,@rezalifi shopeefood lah,positive
70,"@hyemppybae Yoi, shopeefood 😆",positive
71,driver shopeefood gua manis banget......,neutral
72,@moonareas liat @kimjeonggukte pke shopeefood😀,positive
73,wts voucher shopeefood fee 2k aja tsayy #zonaba #zonauang voc shopeefood shopee food https://t.co/2hkbA50JUx,negative
74,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…",positive
75,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…",positive
76,"We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enj… https://t.co/CQmFes3QOq",positive
77,@bertanyarl shopeefood/gofood/grabfood?,positive
78,@nurkhlda shopeefood ke tu?,positive
79,"RT @ShopeeMY: Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you paid for!…",negative
80,"Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you… https://t.co/WTkH4oGQFA",negative
81,"@anakkpantai Pake shopeefood, ada disc 60%",negative
82,RT @kcnazari: I believe Jackie Chan bought something from ShopeeFood - kutiau kungfoo.,negative
83,@g8tfo Shopeefood?,positive
84,Shopee Hiring People in S’pore for Their Food Delivery Business https://t.co/f7b1XV55aO,neutral
85,I believe Jackie Chan bought something from ShopeeFood - kutiau kungfoo. https://t.co/T97zPcELFe,negative
86,Promo di Shopeefood👇 https://t.co/jVpslsZPyM,neutral
87,Shopeefood/gofood/grabfood,positive
88,"SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery… https://t.co/GcnoXTLjsP",neutral
89,@mohamadYu_ Shopeefood tak sidai 😝,positive
90,@vkooscenery shopeefood,positive
