tweet_id,tweet_text
1,telat claim voc 100% shopeefood fak :(
2,"Fuck you shopeefood, i started cooking
👉🍛😏🍲👈 https://t.co/xGh8szFrfl"
3,"@ShopeeID MALMING BARENG SHOPEE
PESEN MAKANNYA PAKE SHOPEEFOOD"
4,@araaaaaja shopeefood https://t.co/hOzcbiXK4p
5,@txtdriaurora Shopeefood ae lorrr
6,Emang dabest shopeefood❤️‍🔥❤️‍🔥❤️‍🔥
7,@doughnadh aku order through shopeefood nyah
8,shopeefood ya ges yak
9,Need akun baru shopee buat order shopeefood dong #zonauang️ #zonajajan
10,+ shopeefood
11,@naufaliadr shopeefood as always😋
12,@__renjanaa Pake shopeefood
13,When your favorite lontong kikil isn't available in gofood nor shopeefood 🥲 the only worthy reason to go out. https://t.co/lRjODOQaJG
14,"RT @ShopeeMY: Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood! https://t.co/CR6FEjjz3U…"
15,@cooljasonsmooth tf is shopeefood
16,"RT @ShopeeMY: Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood! https://t.co/CR6FEjjz3U…"
17,@dzhafiz_ Cuba shopeefood
18,wtb voucher shopeefood yang min 20k #zonauang #zonaba
19,"Hmmm nak makan apa this weekend? 😋

✅ Delivery Percuma
✅ Diskaun Up To 50% OFF

Order je ShopeeFood!… https://t.co/yCAbnCYE3X"
20,Shopeefood anj gua laper bangsad
21,Ordered kimbap and bulgogi deopbap from Myeongdong Toppoki via shopeefood. Total price RM41.31 but after discount a… https://t.co/jwAo3bP2MG
22,Last last order jugak shopeefood hahh
23,Shopeefood &gt;&gt;&gt; grabfood gofood
24,@sbyfess Shopeefood adanya
25,ShopeeFood &gt;&gt;&gt;&gt;&gt; Foodpanda &amp; GrabFood
26,that shopeefood rider was so nice i hope you get many orders bang 😔✋🏻
27,oh I forget. my bestfriend graduated today and i havent bought any flowers for her. should i send jiwa toast and co… https://t.co/BbhRMSwJRJ
28,"Hi @ShopeeID , Im your loyal customer and very benefited with the ShopeeFood feature. Being cashless is a lifestyle… https://t.co/txytsJAbRW"
29,"RT @shopeecheckk: SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery (No m…"
30,"SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery… https://t.co/upOhLDax9F"
31,@preikanankiri Dan promo 60% shopeefood 😀😀😀
32,Cane eh nak register jadi rider shopeefood?
33,"Hobiku scrolling2 gofood, grabfood,shopeefood, travelokaeats on repeat."
34,@sugagIidder Gas shopeefood
35,Received a wrong order from shopeefood the other day and yayy I'll get a refund for that. Tak pernah lagi la sebelum ni dapat order salah.
36,waiting KFC to join shopeefood in my area 🥱
37,info promo shopeefood? laperr bett
38,@collegemenfess Almet shopeefood (?)
39,shopeefood https://t.co/0sSb4S0vDu
40,Thanks shopeefood makan beef rice bowl cuma 18k
41,function la shopeefood. boleh tolak coins
42,"RT @ShopeeMY: Friday Dinner suggestion: Agrain 🍴😋

Get your healthy meal delivered to your doorstep! Dah lapar? ShopeeFood je~ 

🏍 Free Del…"
43,RT @hainasipadang: Tim shopeefood ada?? ♥️ https://t.co/TbOnoAlKru
44,RT @kitkatmiao: @foodpanda_my Or you can try ShopeeFood! https://t.co/IyhPRfQbNj
45,RT @wnn_tasha: First time try ShopeeFood ni https://t.co/rJb8ZTHA6G
46,"RT @ShopeeMY: Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you paid for!…"
47,"RT @peachjuicyyy: Today's lunch + dessert. ShopeeFood is a lifesaver. I'm not kidding when i say I'm obsessed. So many good deals.
🥲🤤
#Shop…"
48,"RT @ShopeeMY: Looking for nom nom nom?
Enjoy these limited time vouchers with up to RM11 OFF + FREE Delivery with no min. spend!
Drooling?…"
49,shopeefood love ❤️
50,I’m loving all the free deliveries and discounts on ShopeeFood 😭
51,"Gokana Chicken Hot Ramen + Chicken Original Bento cuma 40K pake shopeefood harin
 https://t.co/bOEhZH3GRP"
52,@masxnxx__ takirain pke jket shopeefood
53,"Friday Dinner suggestion: Agrain 🍴😋

Get your healthy meal delivered to your doorstep! Dah lapar? ShopeeFood je~… https://t.co/dOcAGKUxfi"
54,nak order tealive kat shopeefood and then minum sambil tengok en-connect hehe
55,@anjanievi Shopeefood buk
56,@txtdrorgmiskin Shopeefood driver join the race
57,sponsor by shopeefood 🥰 https://t.co/b5BdsD0MFz
58,@vianiekaokta shopeefood dong
59,@siti_pikah Iqa guna shopeefood.. free delivery
60,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…"
61,".@ShopeePH Food rumors that it will be a new delivery service soon such as @iammanginasal, @pizzahutphils, and many… https://t.co/DrOdEGk3Jw"
62,@TongSate Shopeefood
63,god bless shopeefood
64,"We are AVAILABLE FOR DINE IN &amp; TAKEAWAY
#supportlocalbusiness 
.
Ipoh Shredded Chicken Kuey Teow @ Restoran MJ Wang… https://t.co/xhjlBGIOct"
65,"Welldone if you catch what the man has mis-steak-en the waiter’s question for 🥩. If you are like him, who has cravi… https://t.co/p8AVydJaCC"
66,@convomfs shopeefood
67,RT @aizatakrm: I’m #hiring for an open role. Know anyone who would be a good fit? #shopee #shopeefood  https://t.co/oq9yneiwMF
68,I’m #hiring for an open role. Know anyone who would be a good fit? #shopee #shopeefood  https://t.co/oq9yneiwMF
69,@rezalifi shopeefood lah
70,"@hyemppybae Yoi, shopeefood 😆"
71,driver shopeefood gua manis banget......
72,@moonareas liat @kimjeonggukte pke shopeefood😀
73,wts voucher shopeefood fee 2k aja tsayy #zonaba #zonauang voc shopeefood shopee food https://t.co/2hkbA50JUx
74,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…"
75,"RT @ShopeeMY: We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enjoy RM5 OFF…"
76,"We love Thursday because it's like a mini Friday, so let's celebrate your night by ordering from ShopeeFood and enj… https://t.co/CQmFes3QOq"
77,@bertanyarl shopeefood/gofood/grabfood?
78,@nurkhlda shopeefood ke tu?
79,"RT @ShopeeMY: Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you paid for!…"
80,"Sometimes 1 + 1 doesn't necessary means 2. With ShopeeFood discount voucher, you will always get more than what you… https://t.co/WTkH4oGQFA"
81,"@anakkpantai Pake shopeefood, ada disc 60%"
82,RT @kcnazari: I believe Jackie Chan bought something from ShopeeFood - kutiau kungfoo.
83,@g8tfo Shopeefood?
84,Shopee Hiring People in S’pore for Their Food Delivery Business https://t.co/f7b1XV55aO
85,I believe Jackie Chan bought something from ShopeeFood - kutiau kungfoo. https://t.co/T97zPcELFe
86,Promo di Shopeefood👇 https://t.co/jVpslsZPyM
87,Shopeefood/gofood/grabfood
88,"SHOPEE FOOD 🥘🍔🌭🌮🌯🥗🍔

• Only in Klang Valley
• 3x RM4 Off Free Delivery (Min. spend RM15)
• 3x RM3 Off Free Delivery… https://t.co/GcnoXTLjsP"
89,@mohamadYu_ Shopeefood tak sidai 😝
90,@vkooscenery shopeefood
91,"Available on gofood, grabfood, ShopeeFood, traveloka Eats, and Kulina #ricebox #friedchciken #ayamgoreng #ayam… https://t.co/lK5ufFJ25g"
92,@ShopeeID Cashback 100% di shopeefood ')
93,@ShopeeID Voucher 100% shopeefood 10x 😂
94,"need voucher gofood sama grabfood atau shopeefood dong 

#zonaba #zonauang #zonabu"
95,"RT @azizandrean96: https://t.co/kg5Mzj3uGV
The Rise of ShopeeFood Drivers in every corner of Yogyakarta
@UMYogya @komunikasiumy @fajarjun…"
96,ShopeeFood – Food Delivery APK v5.5.1 Download https://t.co/9QcAGJyPBw
97,@beby_kitty22 Coba shopeefood
98,"the other day my shopeefood driver said ""maaf ya nak ibu pake akun anaknya hehe"" while giving me the nicest smile a… https://t.co/XcKTtiOYLz"
99,"RT @peachjuicyyy: Today's lunch + dessert. ShopeeFood is a lifesaver. I'm not kidding when i say I'm obsessed. So many good deals.
🥲🤤
#Shop…"
100,"Total order RM37.60
Bayar RM20.60

Steady Shopeefood!"
