tweet_id,processed_tweet
1,telat claim voc shopeefood fak EMO_NEG
2,fuck shopeefood started cooking
3,malming bareng shopee pesen makannya pake shopeefood
4,shopeefood
5,shopeefood ae lorr
6,emang dabest
7,aku order shopeefood nyah
8,shopeefood ya ges yak
9,need akun baru shopee buat order shopeefood dong zonajajan
10,shopeefood
11,shopeefood
12,pake shopeefood
13,favorite lontong kikil isnt available gofood shopeefood worthy reason go
14,hmm nak makan apa weekend delivery percuma diskaun order je shopeefood
15,tf shopeefood
16,hmm nak makan apa weekend delivery percuma diskaun order je shopeefood
17,cuba shopeefood
18,wtb voucher shopeefood yang min zonauang zonaba
19,hmm nak makan apa weekend delivery percuma diskaun order je
20,shopeefood anj gua laper bangsad
21,ordered kimbap bulgogi deopbap myeongdong toppoki via shopeefood total price rm41.31 discount
22,last last order jugak shopeefood hahh
23,shopeefood grabfood gofood
24,shopeefood adanya
25,shopeefood foodpanda grabfood
26,shopeefood rider nice hope get many orders bang
27,oh forget bestfriend graduated today havent bought flowers send jiwa toast
28,hi im loyal customer benefited shopeefood feature cashless
29,shopee food klang valley rm4 free delivery min spend rm15 rm3 free delivery
30,shopee food klang valley rm4 free delivery min spend rm15 rm3 free
31,dan promo shopeefood
32,cane eh nak register jadi rider shopeefood
33,hobiku scrolling2 gofood travelokaeats repeat
34,gas shopeefood
35,received wrong order shopeefood day yayy ill get refund tak pernah lagi la sebelum ni dapat order salah
36,waiting kfc join shopeefood area
37,info promo shopeefood laperr bett
38,almet shopeefood
39,shopeefood
40,thanks shopeefood makan beef rice bowl cuma
41,function la shopeefood boleh tolak coins
42,friday dinner suggestion agrain get healthy meal delivered doorstep dah lapar shopeefood free
43,tim shopeefood ada
44,try shopeefood
45,first time try shopeefood ni
46,sometimes doesnt necessary means shopeefood discount voucher always get paid
47,todays lunch dessert shopeefood lifesaver im kidding say im obsessed many good deals
48,looking nom nom nom enjoy limited time vouchers rm11 free delivery min spend
49,shopeefood love
50,loving free deliveries discounts shopeefood
51,gokana chicken hot ramen chicken original bento cuma pake shopeefood harin
52,takirain pke jket shopeefood
53,friday dinner suggestion agrain get healthy meal delivered doorstep dah lapar shopeefood
54,nak order tealive kat shopeefood minum sambil tengok enconnect hehe
55,shopeefood buk
56,shopeefood driver join race
57,sponsor shopeefood
58,shopeefood dong
59,iqa guna shopeefood free delivery
60,love thursday like mini friday lets celebrate night ordering shopeefood enjoy rm5
61,food rumors new delivery service soon
62,shopeefood
63,god bless shopeefood
64,available dine takeaway supportlocalbusiness ipoh shredded chicken kuey teow restoran mj
65,welldone catch man missteaken question like
66,shopeefood
67,hiring open role know anyone would good fit shopee shopeefood
68,hiring open role know anyone would good fit shopee shopeefood
69,shopeefood lah
70,yoi shopeefood
71,driver shopeefood gua manis banget
72,liat pke
73,wts voucher shopeefood fee aja tsayy zonaba zonauang voc shopeefood shopee food
74,love thursday like mini friday lets celebrate night ordering shopeefood enjoy rm5
75,love thursday like mini friday lets celebrate night ordering shopeefood enjoy rm5
76,love thursday like mini friday lets celebrate night ordering shopeefood
77,
78,shopeefood ke tu
79,sometimes doesnt necessary means shopeefood discount voucher always get paid
80,sometimes doesnt necessary means shopeefood discount voucher always get
81,pake shopeefood ada disc
82,believe jackie chan bought something shopeefood kutiau kungfoo
83,shopeefood
84,shopee hiring people food delivery business
85,believe jackie chan bought something shopeefood kutiau kungfoo
86,promo di
87,
88,shopee food klang valley rm4 free delivery min spend rm15 rm3 free
89,shopeefood tak sidai
90,shopeefood
91,available gofood grabfood shopeefood traveloka eats kulina ricebox friedchciken ayamgoreng
92,cashback di shopeefood
93,voucher shopeefood
94,need voucher gofood sama grabfood atau shopeefood dong zonaba zonauang zonabu
95,rise shopeefood drivers every corner yogyakarta
96,shopeefood food delivery apk v5.5.1 download
97,coba shopeefood
98,day shopeefood driver said maaf ya nak ibu pake akun anaknya hehe giving nicest smile
99,todays lunch dessert shopeefood lifesaver im kidding say im obsessed many good deals
100,total order rm37.60 bayar rm20.60 steady shopeefood
